产品网址：http://video-sy.com/?show-51-1.html
产品结构：当前位置：首页->产品中心->视频会议系统->高清视频会议终端->SY-6100V系列

|产品名称|产品型号|功能描述|
|--|--|--|
|高清视频会议终端|SY-6100V 系列|嵌入式分体式硬件设计，支持标准的 H.323/SIP 框架协议，V-Link 协议支持，支持 PC 远程录制，内置 MCU，最大可支持四方终端高清视频会议，H.264 hig profile 编码算法，支持 H.460 防火墙穿越，H.235，SRTP 协议和 AES-128 等加密算法，AAC-LC 高保真宽频语音编码算法，支持 1080P 60fps H.239 双流，支持无线辅流，可通过 PAD 发送辅流，支持双路 HDMI 音频输出，支持第三方应用的开发，开放的 API，易于客户二次开发，支持 WI-FI 无线接入|

概况,体系标准,ITU-T H.323、SIP
概况,网络传输协议,"TCP/IP, UDP, RTP/RTCP/RTSP, HTTP, DHCP, PPPOE, NAT"
概况,视频编解码协议,H.264 H.239 H.263  、  H263+  、  H264 BP/MP/HP
概况,音频编解码协议,支持音频压缩协议  : G.711a G.711u  、  G.722.1 G.722.1c aac_lc
概况,视频码率,64Kbps-8Mbps
概况,音频码率,24Kbps-96Kbps
音频参数,音频特性,唇音同步，静音与闭音同步
音频参数,AEC(  回声抵消  ),自动进行回声消除  .  针对每路输入可配置打开  .  关闭
音频参数,ANS(  白动噪声抑制  ),自动进行噪声抑制  .  针对每路输入可配置强  (max13db)  、弱  (-6db)  、关闭
音频参数,麦克风输入支持幻象供电,每路麦克风均支持幻相电源供电，每路可单独控制打开关闭
音频参数,AGC(  白动増益控制  ),"自动进行麦克风増强、针对每路输入可配置打开、关闭  ,  増益变化范围  : -6db  一  +18db"
视频参数,主流视频分辨率,1920*1080  720P 480P/4CIF CIF
视频参数,双流视频分辨率,1920*1080  720P30/60fps  、  480P50/60fps
网络适应性,IP  配置方式,IP  配置支持静态地址、  DHCP  、  PPPOE
网络适应性,双网口,支持双网口的  IP  配置
网络适应性,静态  NAT  穿越,"可配置  NAT  外部地址  ,  实现  NAT  穿越"
网络适应性,QOS,支待  : IP  优先  /  区分服务
网络适应性,自动升降速率,网络速度降低，自动降低编码速率，网络速度恢复时，自动恢复编码速率
网络适应性,非对称编码技术,"支持格式码率非对称  ,  可以根据上行和下行带宽设置不同的呼口和接收码率"
网络适应性,网络抗丢包率,"vLink  抗丢包功能  ,  包括包序重排  ,  重传  ,  冗余功能"
接口参数,遥控接口,无线红外接收及射频方式，支持遥控器直接控制终端
接口参数,遥控接口,支持红外信号转发，摄像机接入到终端红外，间接控制终端
接口参数,网络接口,"2*Eth, 1000M  自适应以太网接口"
接口参数,录制,支持远程PC录制；支持USB本地存储盘录制
接口参数,串口,2*RS232  、  RS422
接口参数,USB  接口,2XUSB
会议控制,Web  控制,支待  PC  浏览器远程控制
会议控制,无线  PAD  控制,支待无线  PAD  触摸控制
会议控制,会议桥连,同时加入两个会议  .  并且将两个会议桥接起来
会议控制,遥控器控制,支待图形化揺控器控制
摄像机管理,本端摄像机控制,1  、支持上下、左右  . Z00M  控制
摄像机管理,本端摄像机控制,2.  支持  SonyVISCA.PELCO-D  、  PELCO-P  通信协议
摄像机管理,远端摄像机控制,支待  H281  协议、对远端摄像机进行控制
