产品网址：http://video-sy.com/?show-65-1.html
产品结构：当前位置：首页->产品中心->录播服务器->录播服务器->会议

|产品名称|产品型号|功能描述|
|--|--|--|
|录播服务器|SY-S950-V60|一体化设计，嵌入式 Linux 操作系统，支持 6 路高清信号同步录制，多种控制和管理功能，多种文件导出方式，多路音频接入和输出，多路通信和扩展接口，存储和扩展，多媒体移动发布功能，标准流功能，画面合成功能，分辨率质量调节功能，本地预览、回放功能|

型号,录播服务器  SY-S950-V60
系统结构,嵌入式  Linux  系统
视频输入,4  路  SDI  输入，  1  路  HDMI+1  路  VGA  输入
视频输出,1  路  HDMI  ，  1  路  VGA  输出
输入分辨率,SDI  ：  1080P@25fps  ～  1080P@60fps
输入分辨率,HDMI/VGA  ：  1024*768@60HZ  ～  1920*1080@60HZ
音频输入,2  路  LINE in  ，  3pin  凤凰端子接口
音频输出,2  路  LINE out  ，  3pin  凤凰端子接口
音频编码,AAC
视频输出格式,MP4
视频编码帧率,1  ～  30fps
视频码率,500kbps~40Mbps  可调
音频码率,8~128KB  可调
数据存储,标配  1T  硬盘，支持扩  展
RS485  接口,4  组
RS232  接口,2  组
网络,1  个  1000M  网口
USB  接口,1  个  USB2.0  ，  1  个  USB3.0
导播功能,视频预览  /  直播画面监视  /  视频切换  /  预直播画面监视  /  直播画面多分
导播功能,屏显示  /  双电影导播模式  /  片头片尾  /  特技效果  /  字幕
录播功能,实时推流  /  同步录制  /  电影模式录像  /  资源模式录像  /  资源模式和电影
录播功能,模式同时工作  /  手动和全自动导播  /  一键开启推流和录像  /  本地通道
录播功能,回放  /  内置播放器  /  双导模式下两个电影模式同时工作
软件升级,支持网络升级、  RS232  串口升级
存储模式,支持内置硬盘、外接  USB  存，支持  USB  导出，支持  FTP  下载、
存储模式,上传录像
直播协议,支持  RTMP  、  RTSP  、  UDP  、  TCP
网络协议,支持  TCP  、  UDP  、  RTMP  、  RTSP  、  FTP  、  DHCP
工作电源,DC 12V/3A
