产品网址：http://video-sy.com/?show-16-1.html
产品结构：当前位置：首页->产品中心->视频会议系统->视频会议摄像机->高清

|产品名称|产品型号|功能描述|
|--|--|--|
|视频会议摄像机|SY-HD7700|采用 1/2.8 英寸 EXMOR CMOS 图像处理器，有效像素高达 440 万像素；内置 30 倍光学变焦、16 倍数字变焦，自动聚焦高清一体化机芯；可采集分辩率达 1080P 59.94 赫兹的 9 种分辨率高清图像；具有 1/2.8 HD CMOS，有效像素 440 万，灵活安装，可正装和吊顶安装，方便灵活的控制（RS232 422 485），高性能遥拍、俯仰、缩放，SDI 及 DVI 两路数字信号同步输出，使用遥控器轻松切换显示分辨率等特点|

型号,HD770,HD7700,HD7700.1,HD7700.2
成像系统,1/2.8CMOS/ 330万像素,1/2.8CMOS/ 440万像素,1/2.8CMOS/ 440万像素,1/2.8CMOS/ 440万像素
水平分辨率,1080P/1080i,1080P/1080i,1080P/1080i,1080P/1080i
信号制式,NTSC/PAL,NTSC/PAL,NTSC/PAL,NTSC/PAL
机身颜色,银灰色,银灰色,银灰色,银灰色
镜头,"20倍光学,12倍数字","20倍光学,12倍数字","30倍光学,12倍数字","30倍光学,12倍数字"
同步系统,内部/外部,内部/外部,内部/外部,内部/外部
焦距,f=4.7-94mm (F=1.6-3.5),f=4.7-94mm (F=1.6-3.5),f=4.7-94mm (F=1.6-3.5),f=4.3-129mm (F=1.6-4.7)
最少物距,10mm,10mm,10mm,10mm
水平视角,2.9-55.4°,2.9-55.4°,2.9-55.4°,3.0-65°
最低照度,0.5Lx,0.5Lx,0.5Lx,0.5Lx
数字降噪,高、中、低,高、中、低,高、中、低,高、中、低
增益/聚焦,自动/手动可设(-3到+28dB ),自动/手动可设(-3到+28dB ),自动/手动可设(-3到+28dB ),自动/手动可设(-3到+28dB )
信噪比,>50dB,>50dB,>50dB,>50dB
快门速度,1/10000-1/59秒 自动手动可设,1/10000-1/59秒 自动手动可设,1/10000-1/59秒 自动手动可设,1/10000-1/59秒 自动手动可设
预设定位,256个位置可编程,256个位置可编程,256个位置可编程,256个位置可编程
平移/俯仰角,宽范围，350度（平移），+125、-125度（俯仰）,宽范围，350度（平移），+125、-125度（俯仰）,宽范围，350度（平移），+125、-125度（俯仰）,宽范围，350度（平移），+125、-125度（俯仰）
平移/俯仰速度,"自动/手动可设/0.1-180度（平移）,0.1-120度（俯仰）","自动/手动可设/0.1-180度（平移）,0.1-120度（俯仰）","自动/手动可设/0.1-180度（平移）,0.1-120度（俯仰）","自动/手动可设/0.1-180度（平移）,0.1-120度（俯仰）"
白平衡,自动/手动可设/变焦触发/室内/室外/一触即发,自动/手动可设/变焦触发/室内/室外/一触即发,自动/手动可设/变焦触发/室内/室外/一触即发,自动/手动可设/变焦触发/室内/室外/一触即发
控制接口,RS-232C(VISCA)/RS422(VISCA)PELCO:P/D,RS-232C(VISCA)/RS422(VISCA)PELCO:P/D,RS-232C(VISCA)/RS422(VISCA)PELCO:P/D,RS-232C(VISCA)/RS422(VISCA)PELCO:P/D
高清格式,1080P/59.94、50;1080i/59、94、50;720p/60、50,1080P/59.94、50;1080i/59、94、50;720p/60、50,1080P/59.94、50;1080i/59、94、50;720p/60、50,1080P/59.94、50;1080i/59、94、50;720p/60、50
高清接口,SDI*1+DVI*1（SDI及DVI下变换VGA Y/Pb/Pr）,SDI*1+DVI*1（SDI及DVI下变换VGA Y/Pb/Pr）,SDI*1+DVI*1（SDI及DVI下变换VGA Y/Pb/Pr）,SDI*1+DVI*1（SDI及DVI下变换VGA Y/Pb/Pr）
工作温度,0-40℃,0-40℃,0-40℃,0-40℃
存放温度,-20℃-60℃,-20℃-60℃,-20℃-60℃,-20℃-60℃
电源要求,DC 12V,DC 12V,DC 12V,DC 12V
重量,2.1kg,2.1kg,2.1kg,2.1kg
