产品网址：http://www.szsdws.com/product/?id=100005
产品结构：当前位置：首页->IntelCorem3m3-7Y30SR347

|产品名称|产品型号|功能描述|
|----|----|----|
|英特尔电脑处理器|Intel Core m3 m3-7Y30 SR347|周期短，多仓交货，交期快，24 小时应急机制|

基本信息  类型  CPU / Microprocessor  系列  Intel Core m3  处理器编号  m3-7Y30  部件号  HE8067702739824  频率  (GHz)  1  频率  in IDA mode (GHz)  时钟倍频器  封装  类型  Socket  类型  BGA1515,图片展示
基本信息,基本信息
类型,CPU / Microprocessor
系列,Intel Core m3
处理器编号,m3-7Y30
部件号,HE8067702739824
频率  (GHz),1
频率  in IDA mode (GHz),
时钟倍频器,
封装  类型,
Socket  类型,BGA1515


基本信息,基本信息.1
类型,CPU / Microprocessor
系列,Intel Core m3
处理器编号,m3-7Y30
部件号,HE8067702739824
频率  (GHz),1
频率  in IDA mode (GHz),
时钟倍频器,
封装  类型,
Socket  类型,BGA1515
