产品网址：https://www.szforward.com/product/productDetail_SP1100mm.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|光保护产品|SP1100-24GTS-MM|无|

型号名称,SP1100-24GTS-MM
硬件规格,硬件规格
散热模式,前进风，后出风散热模式
外形尺寸(高x宽x深),44mm×482mm×431mm (1U)
面板,带外管理接口5  2×GE RJ45(冗余管理/心跳接口)  Console接口  1×RS232 RJ45  业务接口  16×1GE电口  8×1GE SFP多模  开关  BYPASS开关(4个)  指示灯  PWR LED：绿色，设备上电  SYS LED：绿色，系统正常运行  状态指示灯：S0 S1 S2 BYPASS(共4组)  LINK LED：绿色，GE链路UP后常亮；橙色，FE链路UP后常亮  ACT LED：橙色，数据收发时闪烁
带外管理接口5,2×GE RJ45(冗余管理/心跳接口)
Console接口,1×RS232 RJ45
业务接口,16×1GE电口  8×1GE SFP多模
开关,BYPASS开关(4个)
指示灯,PWR LED：绿色，设备上电  SYS LED：绿色，系统正常运行  状态指示灯：S0 S1 S2 BYPASS(共4组)  LINK LED：绿色，GE链路UP后常亮；橙色，FE链路UP后常亮  ACT LED：橙色，数据收发时闪烁
性能规格,性能规格
交换,交换容量  48Gbps  包转发率  36Mpps  MAC容量  8k  VLAN容量  4K  管理  中文WEB管理界面  支持命令行接口(CLI)配置  支持CONSOLE口配置调试
交换容量,48Gbps
包转发率,36Mpps
MAC容量,8k
VLAN容量,4K
管理,中文WEB管理界面  支持命令行接口(CLI)配置  支持CONSOLE口配置调试
光保护,工作波长  多模850nm  单模1310-1550nm  波长相关损耗  ≤0.3 dB  插入损耗  ≤1.2 dB  偏振相关损耗  ≤0.1 dB  回波损耗  ≥45 dB  切换时间  硬件切换20ms 软件切换50ms  光保护  支持4路
工作波长,多模850nm  单模1310-1550nm
波长相关损耗,≤0.3 dB
插入损耗,≤1.2 dB
偏振相关损耗,≤0.1 dB
回波损耗,≥45 dB
切换时间,硬件切换20ms 软件切换50ms
光保护,支持4路
业务规格,业务规格
操作系统,Linux
特性,支持手动开关切换、命令切换、远程切换、故障切换、掉电自动切换等
环境规格,环境规格
工作温度,0~45°
存放温度,-40-70°
湿度,5％～90％
电源规格,电源规格
电源规格,冗余AC电源：100~240 VAC，50/60 Hz，250W
最大功耗,150W
标准和规范,标准和规范
CE Emission,符合标准，可配合甲方进行第三方认证
FCC Class A,符合标准，可配合甲方进行第三方认证
环保标准,符合RoHS5标准


带外管理接口5,2×GE RJ45(冗余管理/心跳接口)
Console接口,1×RS232 RJ45
业务接口,16×1GE电口  8×1GE SFP多模
开关,BYPASS开关(4个)
指示灯,PWR LED：绿色，设备上电  SYS LED：绿色，系统正常运行  状态指示灯：S0 S1 S2 BYPASS(共4组)  LINK LED：绿色，GE链路UP后常亮；橙色，FE链路UP后常亮  ACT LED：橙色，数据收发时闪烁


交换容量,48Gbps
包转发率,36Mpps
MAC容量,8k
VLAN容量,4K
管理,中文WEB管理界面  支持命令行接口(CLI)配置  支持CONSOLE口配置调试


工作波长,多模850nm  单模1310-1550nm
波长相关损耗,≤0.3 dB
插入损耗,≤1.2 dB
偏振相关损耗,≤0.1 dB
回波损耗,≥45 dB
切换时间,硬件切换20ms 软件切换50ms
光保护,支持4路


型号,描述,配置说明
SP1100-24GTS-MM,SP1100-24GTS-MM主机(16×1GE电口，内置8×1GE多模SFP光模块插槽，2个冗余电源槽位),必配，多模光模块选配波长850nm
PSU-AC250,交流电源模块(220VAC，250W),交流供电必配1块，冗余交流供电配2块
