产品网址：https://www.szforward.com/product/productDetail_NS_GWF.html#
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|防火墙产品|GWF1000/2000|无|

GWF1000系列,GWF1000系列.1,GWF1000系列.2,GWF1000系列.3,GWF1000系列.4
型号规格,GWF-1000A,GWF-1000B,GWF-1000E-MA,GWF-1000E-MB
物理参数,物理参数,物理参数,物理参数,物理参数
千兆电接口,6,8,8,8
千兆SFP光接口,无,2,4,8
万兆接口,无,无,无,2
设备尺寸,1U,1U,1U,1U
电源,单,单,单,单
技术参数,技术参数,技术参数,技术参数,技术参数
最大吞吐量,2Gbps,4Gbps,8Gbps,16Gbps
并发会话,1M,3M,6M,6M
新建会话,20K,80K,200K,220K
最大策略数,100K,100K,100K,100K
VPN吞吐量,1Gbps,1.5Gbps,5Gbps,10Gbps
防病毒吞吐量,700Mbps,500Mbps,2.8Gbps,5Gbps
IPS吞吐量,1Gbps,1.5Gbps,3Gbps,4Gbps
,,,,
GWF2000系列,GWF2000系列,GWF2000系列,GWF2000系列,GWF2000系列
型号规格,GWF-2000A,GWF-2000E-MA,GWF-2000E-MB,
物理参数,物理参数,物理参数,物理参数,物理参数
千兆电接口,8,2,2,
扩展卡槽位,2,5,5,
设备尺寸,2U,2U,2U,
电源,双,双,双,
技术参数,技术参数,技术参数,技术参数,技术参数
最大吞吐量,40Gbps,60Gbps,80Gbps,
并发会话,11M,12M,50M,
新建会话,240k,250k,280k,
最大策略数,100K,100K,100K,
VPN吞吐量,30Gbps,50Gbps,50Gbps,
防病毒吞吐量,6bps,10bps,12bps,
IPS吞吐量,8Gbps,12Gbps,14Gbps,


型号,描述
GWF1000系列防火墙,GWF1000系列防火墙
GWF-1000A,接口数量6个千兆电口，吞吐量2Gbps，并发会话100万，新建会话2万，单电源
GWF-1000B,接口数量8个千兆电口，2个千兆光口，吞吐量4Gbps，并发会话300万，新建会话8万，单电源
GWF-1000E-MA,接口数量8个千兆电口，4个千兆SFP口，吞吐量8Gbps，并发会话600万，新建会话20万，单电源
GWF-1000E-MB,接口数量8个千兆电口，8个千兆SFP口，2个万兆SPF+接口，吞吐量16Gbps，并发会话600万，新建会话22万，单电源
GWF2000系列防火墙,GWF2000系列防火墙
GWF-2000A,固化接口数量8个千兆电口，2个扩展插槽，吞吐量40Gbps，并发会话1100万，新建会话24万，双电源
GWF-2000E-MA,固化接口数量2个千兆电口，5个扩展插槽，吞吐量60Gbps，并发会话1200万，新建会话25万，双电源
GWF-2000E-MB,接口数量2个千兆电口，5个扩展插槽，吞吐量80Gbps，并发会话5000万，新建会话28万，双电源
