产品网址：https://www.szforward.com/product/productDetail_FS9800E.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|自主可控交换机|FS9804E、FS9808E|无|

型号名称,Tritium FS9804E,Tritium FS9808E
硬件规格,硬件规格,硬件规格
引擎插槽,2,2
业务插槽,4,8
电源插槽,2,4
电源规格,AC：85V-264V 45-66Hz ；DC：40V-60V。,AC：85V-300V 45-66Hz。支持冗余双电源。
最大功率,1200W,≤1600W
高度,10U,22U
交换容量,3.84Tbps,7.68Tbps
包转发率,2857Mpps,5714Mpps
主要业务功能,主要业务功能,主要业务功能
端口特性,支持IEEE802.3x flow control  默认支持9K Jumbo frame  支持10G/1G/100M端口速率切换设置  支持端口自动协商特性  支持光纤接口单收、单发  支持物理端口报文收发统计  支持业务拥塞流控反压,支持IEEE802.3x flow control  默认支持9K Jumbo frame  支持10G/1G/100M端口速率切换设置  支持端口自动协商特性  支持光纤接口单收、单发  支持物理端口报文收发统计  支持业务拥塞流控反压
MAC特性,支持静态MAC配置  支持MAC过滤  支持MAC动态学习  支持MAC地址超时老化  支持MAC地址黑名单  支持MAC地址数量限制,支持静态MAC配置  支持MAC过滤  支持MAC动态学习  支持MAC地址超时老化  支持MAC地址黑名单  支持MAC地址数量限制
VLAN特性,支持基于端口的VLAN  支持基于MAC的VLAN  支持基于802.1Q的VLAN  支持VLAN过滤  支持VLAN Translation  支持Private VLAN  支持QinQ,支持基于端口的VLAN  支持基于MAC的VLAN  支持基于802.1Q的VLAN  支持VLAN过滤  支持VLAN Translation  支持Private VLAN  支持QinQ
端口聚合,支持802.3ad端口聚合  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP/flow等负载均衡  支持128个聚合组  聚合组支持32个成员端口,支持802.3ad端口聚合  支持源MAC/目的MAC/源-目的MAC/源IP/目的IP/源-目的IP/flow等负载均衡  支持128个聚合组  聚合组支持32个成员端口
二层环网,支持STP/RSTP/ MSTP,支持STP/RSTP/ MSTP
ERPS,支持快速环网ERPS,
风暴抑制,支持Broadcast / Multicast / Unicast风暴抑制,支持Broadcast / Multicast / Unicast风暴抑制
IEEE802.1x,支持基于端口、MAC、用户名的认证,支持基于端口、MAC、用户名的认证
端口镜像,支持ingress和egress两个方向镜像  支持基于port、VLAN和流镜像  支持1:1、N:1和1：N的端口镜像,支持ingress和egress两个方向镜像  支持基于port、VLAN和流镜像  支持1:1、N:1和1：N的端口镜像
DHCP,"支持DHCP Server  支持DHCP Relay, DHCP Relay Option 82","支持DHCP Server  支持DHCP Relay, DHCP Relay Option 82"
IP应用,支持IP报文合法性检查  ARP Protocol  IPv4 Protocol  ICMP Protocol,支持IP报文合法性检查  ARP Protocol  IPv4 Protocol  ICMP Protocol
IPv4单播,支持IPv4静态路由、ECMP、策略路由  支持RIPv1/v2  支持OSPF  支持IS-IS  支持BGP,支持IPv4静态路由、ECMP、策略路由  支持RIPv1/v2  支持OSPF  支持IS-IS  支持BGP
IPv4组播,支持IGMP v1/v2/v3/snooping  支持PIM-SM、PIM-DM、SSM、MSDP,支持IGMP v1/v2/v3/snooping  支持PIM-SM、PIM-DM、SSM、MSDP
IPv6单播,支持IPv6静态路由、ECMP、策略路由  支持RIPng  支持OSPFv3  支持IS-ISv6  支持BGP4+,支持IPv6静态路由、ECMP、策略路由  支持RIPng  支持OSPFv3  支持IS-ISv6  支持BGP4+
IPv6组播,支持MLD  支持PIM-SM for IPv6、SSM for IPv6,支持MLD  支持PIM-SM for IPv6、SSM for IPv6
MPLS,支持MPLS L3 VPN  支持LDP,支持MPLS L3 VPN  支持LDP
