产品网址：https://en.taixin-semi.com/Product?prouctSubClass=27
产品结构：root->珠海泰芯半导体有限公司-产品中心

|产品名称|产品型号|功能描述|
|--|--|--|
|TX8C1260|TX8C1260|TX8C1260 是一款高性能低功耗的 8051 内核 MCU，工作主频最高为 48MHz，内置 16K 字节闪存存储器，2K 字节 SRAM。模拟资源包括 1 个 12 位 500Ksps 的 SARADC（带采样保持功能）、2 个多功能比较器，3 个运算放大器。定时器资源包括 1 个 16 位高级定时器（3 对互补 PWM，带死区控制）、5 个 16 位通用定时器（都支持 Capture、Count、PWM 功能）、1 个 32 位通用定时器、1 个看门狗定时器。标准的通信接口包括 1 个 SPI 接口，1 个 IIC 接口和 2 个 UART 接口。支持宽范围电压供电，工作电压为 2.4V∼5.5V（可以支持电池应用场景），工作温度范围-40℃∼85℃。多种省电工作模式保证低功耗应用的要求，最低功耗模式<5uA。TX8C1200 提供 SSOP16,SSOP20,QFN20,TSSOP20,QFN24,SSOP24 等多种封装形式，根据不同的封装形式，器件中的外设资源配置不尽相同。应用场合包括血氧仪、额温枪等消费级医疗产品，风机，风扇等电机驱动和应用控制，智能手表、运动手环等智能可穿戴应用，物联网、智能家居，蓝牙充电仓、无线充，货物电子标签等智慧零售应用，覆盖 003 系列 mcu 产品的应用。|

Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  16  Match:  16,,SSOP24  QFN24  SSOP20  TSSOP20  QFN20  SSOP16  SOP20  SSOP28  SOP8,,,,,2*128  128,22  23  18  19  14  26  6,,-40 ~ 85  -40 ~ 105,8*12  6*12  4*8  8*10  3*3,,,,,,,,22  18  14  26  6,,,,,5ua  <5ua  <5uA
Compare,,,,,,,,,,,,,,,,,,,,,,,,
Add/Hide  Parameter List,Type,Encapsulated Type,Chip-Set,Max Speed  (MHz),Flash  (KB),RAM  (Byte),EEPROM  (Byte),GPIO,Working Voltage  (V),Temperature  （℃）,LED  （com*seg）,Advanced TM,GPTM,Watchdog,PWM,UART,SPI,IIC,ADC,ACMP,PGA,CRC,Code Encryption,LPM
Total:  16  Match:  16,,SSOP24  QFN24  SSOP20  TSSOP20  QFN20  SSOP16  SOP20  SSOP28  SOP8,8051,48,16,2048,2*128  128,22  23  18  19  14  26  6,2.4 ~ 5.5,-40 ~ 85  -40 ~ 105,8*12  6*12  4*8  8*10  3*3,6*16bit,5*16bit,1,6,2,1,1,22  18  14  26  6,2,2,1,√,5ua  <5ua  <5uA
Compare,,,,,,,,,,,,,,,,,,,,,,,,
,TX8C1260QF20,QFN20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1,6,2,1,1,18,,,1,√,<5ua
,TX8C1260TS20,TSSOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1,6,2,1,1,18,,,1,√,<5ua
,TX8C1260SO16,SOP20,8051,48,16,2048,128,14,2.4 ~ 5.5,-40 ~ 105,3*3,6*16bit,5*16bit,1,6,2,1,1,14,,,1,√,<5ua
,TX8C1260SS28,SSOP28,8051,48,16,2048,128,26,2.4 ~ 5.5,-40 ~ 105,8*12,6*16bit,5*16bit,1,6,2,1,1,26,,,1,√,<5ua
,TX8C1260SO20,SOP20,8051,48,16,2048,128,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1,6,2,1,1,18,,,1,√,<5ua
,TX8C1260SO8,SOP8,8051,48,16,2048,128,6,2.4 ~ 5.5,-40 ~ 105,3*3,6*16bit,5*16bit,1,6,2,1,1,6,,,1,√,<5uA
,TX8C1260SS20,SSOP20,8051,48,16,2048,128,18,2.4 ~ 5.5,-40 ~ 105,8*10,6*16bit,5*16bit,1,6,2,1,1,18,,,1,√,<5uA
,TX8C1200SS16,SSOP16,8051,48,16,2048,2*128,14,2.4 ~ 5.5,-40 ~ 85,4*8,6*16bit,5*16bit,1,6,2,1,1,14,2,2,,√,5ua
,TX8C1200QF20C,QFN20,8051,48,16,2048,2*128,19,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200QF20B,QFN20,8051,48,16,2048,2*128,19,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200QF20,QFN20,8051,48,16,2048,2*128,19,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200TS20,TSSOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200SS20B,SSOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200SS20,SSOP20,8051,48,16,2048,2*128,18,2.4 ~ 5.5,-40 ~ 85,6*12,6*16bit,5*16bit,1,6,2,1,1,18,2,2,,√,5ua
,TX8C1200QF24,QFN24,8051,48,16,2048,2*128,23,2.4 ~ 5.5,-40 ~ 85,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,,√,5ua
,TX8C1200SS24,SSOP24,8051,48,16,2048,2*128,22,2.4 ~ 5.5,-40 ~ 85,8*12,6*16bit,5*16bit,1,6,2,1,1,22,2,2,,√,5ua
