产品网址：https://lthpc.com/products/detail/11
产品结构：root->GA4228-TNR

|产品名称|产品型号|功能描述|
|----|----|----|
|服务器|GA4228-TNR|基于 AMD EPYC 处理器平台的弹性云 AI 工作负载高性能系统，可支持最新发布的采用 7nm 的先进工艺制造的第三代 AMD EPYC（霄龙）处理器，高达 32 槽位的内存扩展和多达 10 个 PCI-E 4.0 扩展插槽提供了强大的性能和扩展能力，可用于人工智能/深度学习、高性能计算（HPC）、云游戏等各种并行计算密集型应用|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket SP3
处理器和芯片组,处理器类型,霄龙
处理器和芯片组,支持的处理器,AMD EPYC™ 7003/7002系列
处理器和芯片组,热设计功率 (TDP),280W
处理器和芯片组,芯片组制造商,AMD
处理器和芯片组,芯片组型号,System on Chip
内存,最大内存,8TB
内存,内存技术,DDR4
内存,内存标准,DDR4-3200MHz ECC DDR4 RDIMM/LRDIMM
内存,总内存槽数,32
硬盘,SATA3,SATA3(6Gbps)
硬盘,NVMe,4个 NVMe 驱动器
硬盘,M.2,
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2500 BMC
I/O扩展,PCI Express,9个 PCI-E 4.0 x16 插槽/10个 PCI-E 4.0 x16 插槽(可选-无NVME驱动器)
驱动器托架,热插拔,24个 2.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,2
接口/端口,SATA接口数量,20
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,2个RJ45千兆网络端口
接口/端口,板载视频,1 个 VGA 接口
电源说明,电源数量,4
电源说明,冗余电源,是的
电源说明,最大电源功率,2000W
电源说明,认证,80Plus 钛金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,4U
物理特性,高度,7''
物理特性,宽度,17.2''
物理特性,深度,29''
