产品网址：https://lthpc.com/products/detail/77
产品结构：root->GA4228G3

|产品名称|产品型号|功能描述|
|--|--|--|
|服务器|GA4228 G3|基于 AMD EPYC 处理器平台的弹性云 AI 工作负载高性能系统，可支持最新发布的采用 5nm 的先进工艺制造的第四代 AMD EPYC（霄龙）处理器，高达 24 槽位的 DDR5 内存扩展和多达 9 个 PCI-E 5.0 扩展插槽提供了强大的性能和扩展能力，可用于人工智能/深度学习、高性能计算（HPC）、云游戏等各种并行计算密集型应用|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket SP5
处理器和芯片组,处理器类型,霄龙
处理器和芯片组,支持的处理器,AMD EPYC™ 9004系列
处理器和芯片组,热设计功率 (TDP),360W
处理器和芯片组,芯片组制造商,AMD
处理器和芯片组,芯片组型号,System on Chip
内存,最大内存,6TB
内存,内存技术,DDR5
内存,内存标准,DDR5-4800MHz ECC DDR5 RDIMM
内存,总内存槽数,24
硬盘,SATA3,SATA3(6Gbps)
硬盘,NVMe,4个 NVMe 驱动器
硬盘,M.2,1个NVME M.2
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2500 BMC
I/O扩展,PCI Express,8个 PCI-E 5.0 x16 插槽 (for GPU)
I/O扩展,,1个PCI-E 5.0 x16插槽
I/O扩展,,2个PCI-E x8 in x16插槽
驱动器托架,热插拔,24个 2.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,2
接口/端口,SATA接口数量,20
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,2个RJ45万兆网络端口（AIOM）
接口/端口,板载视频,1 个 VGA 接口
电源说明,电源数量,4
电源说明,冗余电源,是的（3+1）
电源说明,最大电源功率,2000W
电源说明,认证,80Plus 钛金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,4U
物理特性,高度,7''
物理特性,宽度,17.2''
物理特性,深度,29''
