产品网址：https://lthpc.com/products/detail/45
产品结构：root->S242U-TR4

|产品名称|产品型号|功能描述|
|----|----|----|
|服务器|S242U-TR4|基于 Intel C621 系列芯片组的高性价比机架式服务器产品，采用最新的英特尔® Xeon® Scalable 系列处理器，48 槽位的内存扩展和多达 24 个 SATA（其中包含 4 个可支持 NVME）的硬盘扩展提供了强大的性能和扩展能力，可用于各种大中型企业各种关键应用|

处理器和芯片组,支持的处理器数量,4
处理器和芯片组,处理器插座,Socket P LGA-3647
处理器和芯片组,处理器类型,至强
处理器和芯片组,支持的处理器,黄金62XX（可扩展4S）
处理器和芯片组,,铂金82XX（可扩展4S）
处理器和芯片组,热设计功率 (TDP),165W
处理器和芯片组,芯片组制造商,英特尔
处理器和芯片组,芯片组型号,C621
内存,最大内存,12TB
内存,内存技术,DDR4 NVDIMM
内存,,支持Intel® Optane™ DCPMM
内存,内存标准,DDR4-2933/2666/2400MHz ECC DDR4 RDIMM/LRDIMM
内存,总内存槽数,48
硬盘,SATA3,SATA3 (6Gbps)
硬盘,,"RAID 0, 1, 5, 10"
硬盘,NVMe,4个NVME混合接口（AOC）
硬盘,M.2,
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2500 BMC
I/O扩展,PCI Express,5个 PCI-E 3.0 x8 插槽
I/O扩展,,6个 PCI-E 3.0 x16 插槽
驱动器托架,热插拔,24个 2.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,2
接口/端口,SATA接口数量,24
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,4个RJ45千兆端口
接口/端口,板载视频,1 个 VGA 接口
电源说明,电源数量,2
电源说明,冗余电源,是
电源说明,最大电源功率,1600W
电源说明,认证,80Plus 钛金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,2U
物理特性,高度,3.5''
物理特性,宽度,17.2''
物理特性,深度,30.7''
