产品网址：https://lthpc.com/products/detail/18
产品结构：root->S463-E1CR60G2

|产品名称|产品型号|功能描述|
|----|----|----|
|大容量存储服务器|S463-E1CR60 G2|采用英特尔® 第三代至强可扩展处理器，提供 16 条主内存通道，支持频率最高可达 3200MHz 的服务器内存。高达 60 盘位的数据存储空间可以提供达 1PB 的海量存储空间。采用模块化设计，将计算单元、存储单元、传热单元及供电单元通过高速互联设计实现解耦合。提高运维和部署效率。具有超大容量存储、BMC 监控管理功能、模块化设计提高运维效率等特点。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket P+ (LGA-4189)
处理器和芯片组,处理器类型,至强
处理器和芯片组,支持的处理器,白银43XX
处理器和芯片组,,黄金53XX
处理器和芯片组,,黄金63XX
处理器和芯片组,,铂金83XX
处理器和芯片组,热设计功率 (TDP),205W
处理器和芯片组,芯片组制造商,英特尔
处理器和芯片组,芯片组型号,C621A
内存,最大内存,4TB
内存,内存技术,DDR4
内存,内存标准,DDR4-3200MHz
内存,总内存槽数,16
硬盘,SATA3,SATA3 (6Gbps)
硬盘,NVMe,4个NVME(可选支持)
硬盘,M.2,2个 NVME M.2（2280，22110）
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2600 BMC
I/O扩展,PCI Express,3个PCI-E 4.0 X 16 插槽
驱动器托架,热插拔,60个3.5英寸SATA热插拔驱动器托架
驱动器托架,,4个2.5英寸NVME U.2热插拔驱动器托架
驱动器托架,,2个2.5英寸SATA SSD热插拔驱动器托架
接口/端口,USB 3.0 端口总数,2
接口/端口,SATA接口数量,62
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,2个RJ45万兆网络端口
接口/端口,板载视频,1 个 VGA 接口
电源说明,电源数量,2
电源说明,冗余电源,是
电源说明,最大电源功率,2000W
电源说明,认证,80Plus 钛金
物理特性,颜色,银白
物理特性,外形规格,机架式
物理特性,机架高度,4U
物理特性,高度,7''
物理特性,宽度,17.6''
物理特性,深度,34.1''
