产品网址：https://lthpc.com/products/detail/107
产品结构：root->W7234G3

|产品名称|产品型号|功能描述|
|----|----|----|
|W7234 G3|无|采用最新 Intel 第四代和第五代至强可扩展系列处理器，全新的架构设计带来更高的性能提升。还可支持 4 块高算力 GPU，强劲的 CPU 搭配高性能的 AI 加速卡，提供更加强大的计算能力。强大的性能可将深度学习训练时间从几个月缩短到几个小时，提高工作效率，更快速的为 AI 服务。可广泛应用于互联网、云计算、3D 渲染和大数据等应用。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket E LGA-4677
处理器和芯片组,处理器类型,至强
处理器和芯片组,支持的处理器,白银44XX
处理器和芯片组,,黄金54XX
处理器和芯片组,,黄金64XX
处理器和芯片组,,铂金84XX
处理器和芯片组,热设计功率 (TDP),350W
处理器和芯片组,芯片组制造商,英特尔
处理器和芯片组,芯片组型号,C741
内存,最大内存,4TB
内存,内存技术,DDR5
内存,内存标准,DDR5- 4400/4800/5600MHz ECC DDR5 RDIMM
内存,总内存槽数,16
硬盘,SATA3,SATA3 (6Gbps)
硬盘,,"RAID 0,1,5,10"
硬盘,NVMe,12个NVME
硬盘,M.2,
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2600 BMC
I/O扩展,PCI Express,4个PCIe 5.0 x16插槽
I/O扩展,,2个PCIe 5.0 x8插槽
驱动器托架,热插拔,12个 3.5 英寸前置热插拔驱动器托架
接口/端口,USB 3.0 端口总数,4
接口/端口,SATA接口数量,12
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,2个RJ45千兆网络端口
接口/端口,板载视频,1个VGA接口
电源说明,电源数量,1/2（可选）
电源说明,冗余电源,否
电源说明,最大电源功率,1600W/2000W/2400W（可选）
电源说明,认证,80Plus 铂金
物理特性,颜色,银白
物理特性,外形规格,塔式
物理特性,机架高度,4U
物理特性,高度,"27.5"""
物理特性,宽度,"9.0"""
物理特性,深度,"25.5"""
