产品网址：https://lthpc.com/products/detail/23
产品结构：root->WA4232

|产品名称|产品型号|功能描述|
|--|--|--|
|WA4232|无|基于 AMD 第二代 EYPC（霄龙）系列处理器的高性价比静音 GPU 工作站产品，可应用于人工智能、大数据分析、智能医疗等各种并行初学者，可满足科研、教育、人工智能初创应用的计算需求，可应用于教研室、办公室等科研版公共场所。|

处理器和芯片组,支持的处理器数量,2
处理器和芯片组,处理器插座,Socket SP3
处理器和芯片组,处理器类型,霄龙
处理器和芯片组,支持的处理器,AMD EPYC™ 7001/7002系列
处理器和芯片组,热设计功率 (TDP),225W
处理器和芯片组,芯片组制造商,AMD
处理器和芯片组,芯片组型号,System on Chip
内存,最大内存,4TB
内存,内存技术,DDR4
内存,内存标准,DDR4-3200/2666MHz ECC DDR4 RDIMM/LRDIMM
内存,总内存槽数,16
硬盘,SATA3,SATA3（6Gbps)
硬盘,NVMe,
硬盘,M.2,1个SATA/NVME M.2 （2280，22110）
显示与图形,显示和图形图形控制器制造商,ASPEED
显示与图形,图形控制器模型,AST2500 BMC
I/O扩展,PCI Express,2个 PCI-E 3.0 x16 插槽
I/O扩展,,3个 PCI-E 3.0 x8 插槽
驱动器托架,热插拔,8 个 3.5 英寸热插拔驱动器托架
接口/端口,USB 3.0 端口总数,2
接口/端口,SATA接口数量,8
接口/端口,局域网,1 个 RJ45 管理端口
接口/端口,,2个RJ45千兆网络端口
接口/端口,板载视频,1 个 VGA 接口
电源说明,电源数量,1
电源说明,冗余电源,否
电源说明,最大电源功率,1200W
电源说明,认证,80Plus 铂金
物理特性,颜色,黑
物理特性,外形规格,机架/塔式
物理特性,机架高度,4U
物理特性,高度,17.8''
物理特性,宽度,7.0''
物理特性,深度,25.5''
