产品网址：http://www.xtxtech.com/products_detail/8
产品结构：root->芯天下|致力于成为卓越的通用芯片设计公司|覆盖成熟存储技术路线，完成未来新型存储器多点布局

|产品名称|产品型号|功能描述|
|--|--|--|
|Linear Regulator|无|线性稳压器可在多种应用中将较高的输入电压转换为稳定的输出电压。XTX 提供的直流线性稳压器具有低噪声、高电源抑制比、宽输入电压、小封装尺寸和超低静态电流等众多特性；同时可提供 300mA 到 3A 的负载电流，集成多种保护功能以及软启动控制，满足多种应用领域需求。|

型号,Vin Min(V),Vin Max(V),PSRR@1kHz_dB,Iout Max (mA),Iq (μA),Shutdown Current(uA),Noise (uVrms),Fixed output options (V),Package,Dropout Voltage(mV),说明书
XTP2021-330AS2CT,1.8,5.5,76,300,1,0.01,67,3.3,SOT23-5,135,联系我们
XTP2021-300AS2CT,1.8,5.5,76,300,1,0.01,67,3.0,SOT23-5,135,联系我们
XTP2021-290AS2CT,1.8,5.5,76,300,1,0.01,67,2.9,SOT23-5,135,联系我们
XTP2021-285AS2CT,1.8,5.5,76,300,1,0.01,67,2.85,SOT23-5,135,联系我们
XTP2021-280AS2CT,1.8,5.5,76,300,1,0.01,67,2.8,SOT23-5,135,联系我们
XTP2021-270AS2CT,1.8,5.5,76,300,1,0.01,67,2.7,SOT23-5,135,联系我们
XTP2021-250AS2CT,1.8,5.5,76,300,1,0.01,67,2.5,SOT23-5,135,联系我们
XTP2021-190AS2CT,1.8,5.5,76,300,1,0.01,67,1.9,SOT23-5,135,联系我们
XTP2021-180AS2CT,1.8,5.5,76,300,1,0.01,67,1.8,SOT23-5,135,联系我们
XTP2021-150AS2CT,1.8,5.5,76,300,1,0.01,67,1.5,SOT23-5,135,联系我们
XTP2021-120AS2CT,1.8,5.5,76,300,1,0.01,67,1.2,SOT23-5,135,联系我们
XTP2021-105AS2CT,1.8,5.5,76,300,1,0.01,67,1.05,SOT23-5,135,联系我们
XTP2021-090AS2CT,1.8,5.5,76,300,1,0.01,67,0.9,SOT23-5,135,联系我们
XTP2021-330AD1CT,1.8,5.5,76,300,1,0.01,67,3.3,DFN-1X1-4L,135,联系我们
XTP2021-300AD1CT,1.8,5.5,76,300,1,0.01,67,3.0,DFN-1X1-4L,135,联系我们
XTP2021-290AD1CT,1.8,5.5,76,300,1,0.01,67,2.9,DFN-1X1-4L,135,联系我们
XTP2021-285AD1CT,1.8,5.5,76,300,1,0.01,67,2.85,DFN-1X1-4L,135,联系我们
XTP2021-280AD1CT,1.8,5.5,76,300,1,0.01,67,2.8,DFN-1X1-4L,135,联系我们
XTP2021-270AD1CT,1.8,5.5,76,300,1,0.01,67,2.7,DFN-1X1-4L,135,联系我们
XTP2021-250AD1CT,1.8,5.5,76,300,1,0.01,67,2.5,DFN-1X1-4L,135,联系我们
XTP2021-190AD1CT,1.8,5.5,76,300,1,0.01,67,1.9,DFN-1X1-4L,135,联系我们
XTP2021-180AD1CT,1.8,5.5,76,300,1,0.01,67,1.8,DFN-1X1-4L,135,联系我们
XTP2021-150AD1CT,1.8,5.5,76,300,1,0.01,67,1.5,DFN-1X1-4L,135,联系我们
XTP2021-120AD1CT,1.8,5.5,76,300,1,0.01,67,1.2,DFN-1X1-4L,135,联系我们
XTP2021-105AD1CT,1.8,5.5,76,300,1,0.01,67,1.05,DFN-1X1-4L,135,联系我们
XTP2021-090AD1CT,1.8,5.5,76,300,1,0.01,67,0.9,DFN-1X1-4L,135,联系我们
XTP2038-330AS2CT,2.5,5.5,84,500,15,0.01,76,3.3,SOT23-5,163,联系我们
XTP2037-330AS2CT,1.8,5.5,92,300,21,0.01,58,3.3,SOT23-5,88,联系我们
XTP2036-330AS2CT,1.8,5.5,90,300,21,0.01,60,3.3,SOT23-5,106,联系我们
