产品网址：https://www.hyc.com/products/semi
产品结构：root->半导体事业（SEMI）-苏州华兴源创科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|T7600 系列 SoC 数字测试机|6 槽（T7600S）、12 槽（T7600M）、18 槽（7600H）|数字通道最高支持 768 通、1536 通道、2304 通道，电源通道支持 72 路、144 路、216 路|
|PXIe 平台测试设备|两款机箱：6 槽 PXIe-C0601、12 槽 PXIe-C1201|多款自主研发板卡，与其他品牌系统相互兼容，搭配自主开发的多功能软件开发平台|
|E06 CIS 图像传感器测试机|无|最高支持 16site 并行测试，支持 MIPI、DVP 和 LVDS 接口，电流性能为 192 直流通道和 96 路电源通道，数字性能为数字最高支持 384 路、400Mbps|
|TS1800 射频芯片测试机|无|测试频率最高 6GHz，功率可达 35dBm，支持 SPI、MIPI 和自定义数字通信库，噪声系数测量支持 Y 因子法和冷源法，32 个双向射频端口，高功率 8 进 8 出|
|EP2000 16 Site CIS 平移式分选机|无|支持 16site 并行测试，支持自带光源或搭载其他型号光源，最高 UPH：4,500，最小被检产品尺寸 2mm×2mm|
|EP3000 128 Site 平移式分选机|无|支持 128 Sites 并行测试，UPH>11,000 (T.T.>30s)，Jam Rate<1/5000，最小被检产品尺寸 2mm×2mm，支持二维码，字符及芯片正反识别，支持 SECS/GEM 及完备的软件分析工具，Handler + PXIe 全平台解决方案|
|ET20/ET32 转塔分选机|两个机型：20 站、32 站|支持 6 面检查，支持 QFN、DFN、SOIC 等封装，UPH>30,000，MTBA>1h|
|晶圆 AOI 宏观缺陷检测自动化检测设备|无|高定位精度移动平台结合超高帧率数据采集能力，满足客户产能要求，亚微米光学解析精度，应对制造工艺中检出需求，支持 BF/DF 多模式成像形式，更直观展现缺陷图像，结合深度学习算法缺陷自动分类，释放人力节约成本|
|电池管理系统自动化检测解决方案|无|自主研发的电池管理芯片检测设备，完全取代人工检测，数据实时上传客户端 MES 系统，国际手机龙头企业指定产品，支持载具自动上下料及寿命管理，支持绝大部分 BMS 芯片、BMU、电池 Pack 测试，实现超宽电压、电流范围内的高精度检测，最小测量精度：电压 0.3mV、电流 0.4μA，国内外通用仪器仪表类检测标准|
|六面检查自动化检测设备|无|实现 UPH 高达 15K 六面外观检查，Tray in 方式有效避免高端芯片二次损伤，AI 算法与传统算法相结合、定制光学系统，实现 OCR/二维码读取 包含各面缺陷类型|
