产品网址：https://www.hyc.com/products/fpd
产品结构：root->平板事业（FPD）-苏州华兴源创科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|LCD/OLED 触控功能检测设备|无|兼容 LCD/OLED 模组触控功能检测设备，多点触控模拟、稳定性高，适配性强，配合不同载具，迅速完成机种切换，国际手机头部企业指定产品|
|LCD/OLED 信赖性检测治具|无|显示屏驱动与触控寄存器一体化检测机，适配性广（90%RH、65℃；85%RH、85℃），最大 6 通道并测，国际手机龙头企业指定产品|
|OLED 大尺寸触控检测设备|无|OLED 6.5 代线 On-Cell 触控柔性面板 Half Glass 电路检测，集检测和老化修复功能为一体的超大型自动化设备，综合检出率：97%，最大被检产品尺寸 1500mm x 925mm（同时容纳 2 片）|
|OLED 微裂纹检测设备|无|GDS 裂纹检测设备，内外弧及孔区裂痕检测，毛细裂纹检测精度：0.5μm，最大被检产品尺寸 390mm×185mm（同时容纳 2 片）|
|OLED Mura 修复自动化检测设备|无|OLED 产品 Mura 缺陷自动修复设备，先进的子像素级光学成像技术和软件算法消除 Mura 纹，Tact time（节拍时间）: ≤4.5s，最大被检产品尺寸 360mm x 250mm（同时容纳 2 片）|
|OLED 图像缺陷检测设备|无|OLED 产品图像缺陷自动检测设备，先进的子像素级光学成像技术和分层检测技术实现图像缺陷的检测，图像缺陷检出率 99.5%以上，最大被检产品尺寸 360mm x 250mm（同时容纳 2 片）|
|OLED 图像色度缺陷检测设备|无|OLED 产品图像色度缺陷自动化检测设备，重聚焦的光学成像技术实现色度缺陷的检测，图像缺陷检出率 99.5%以上，最大被检产品尺寸 360mm x 250mm（同时容纳 2 片）|
|OLED 模组触控功能自动化检测设备|无|OLED 产品触控自动检测设备，高精度压接机构和高速响应回路实现触控回路的检测，最大被检产品尺寸 210mm x 110mm（同时容纳 2 片）|
|Micro OLED 显示检测设备|无|业内领先的 Micro OLED 电性能测试设备，8 工位，每小时产出 180 片，实现了关键核心技术攻关，行业 2 家龙头企业双指定产品|
|LCD 车载系列黑色斑检测设备|无|高精度成像亮度显示技术和软件算法结合实现多灰阶亮度及多角度色斑缺陷的检测，符合欧洲乘用车检测标准，©German Automotive OEM Work Group Displays，最大被检产品尺寸 700mm x 150mm（同时容纳 2 片）|
|高温老化设备|无|目视高温测试设备，极宽的温度范围和极高的控制精度条件下实现信赖性测试，温度控制范围：+40℃ ~+70℃ ，温度波动：0.2℃以内，最大被检产品尺寸 5.5inch（同时容纳 3520 片）|
|显示检测信号发生器|无|支持 8K 及以上分辨率屏幕检测，最大输出带宽：250Gbps，自带 5G 无线通讯，支持远程操作|
|三维光场相机|无|国内领先光场原理的 3D 检测设备，单次拍摄，多重聚焦多重视角，三维成像，精度：8-16μm，Z 向微米级分辨率，拥有宏观视野，快速解析 Z 向缺陷定位问题|
|色彩分析仪|无|测量液晶模组的色度、亮度和闪烁度，高精度、高速度、系统集成便利，符合 CIE1931 人眼特性曲线，实现了关键核心技术攻关|
|成像式色度计|无|分辨率 12M-151M，基于科学级 CMOS 传感器设计，应用平板显示器的 MURA 修复，实现了关键核心技术攻关|
