产品网址：https://www.china-core.com/products.php?xlm=16&lm=45#
产品结构：root->信息安全-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|NFC 微控制器|CN7160|支持所有符合 NFC Forum 的模式，包括读写器模式、卡模拟模式和点对点模式。内置射频前端同时支持无源负载调制和有源负载调制|
|安全芯片|CCM4202S|采用分立的 Cortex-M4 与 C*Core C0 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，安全级别达到国密二级水平，支持阿里 ID2 安全芯片和应用规范|
|可信密码模块|TCM|基于 CUni360S 和 CCM3310S-H 芯片设计，模块接口符合 GM/T 0012-2012《可信计算 可信密码模块接口规范》，芯片符合 GM/T 002|
|高速 USB 模组|无|使用国芯安全芯片 CCP907T 设计开发的一款多功能、多应用 USB3.0 高速加解密模块，支持 Windows、Linux 等多种操作系统，支持 DES、AES、SM4 对称加密|
|安全芯片|CCM3305S|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。芯片集成了多种加密引擎模块、可广泛应用于移动支付、安全存储和数据实时加密等|
|安全芯片|CCM3310S-H|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于可信计算、网上银行、移动支付、数据安全、保密通信、版权控制|
|安全芯片|CCM3310S-LP|采用 32 位 CPU 安全内核 CRV0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于物联网、版权保护、智能表计、智能家电等领域|
|安全芯片|CCM4201S-L|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹识别领域|
|安全芯片|CUni360S|具备接触、非接、磁条卡操作功能的信息安全芯片。采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点|
|随机数芯片|CWNG10|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，用于产生真随机数序列，可广泛应用于加密卡、密码机、签名验签服务器、VPN 网关、安全路由器等产品中，满足安全通信中对真随机数的需求|
|安全芯片|CCM4202S-EL|采用 Cortex-M4F 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹模组，智能门锁，POS 等产品中，以及网上银行、移动支付、数据安全、保密通信等领域|
|安全芯片|CCM4201S-P|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，主要应用于金融支付领域|
|安全芯片|CCM4101|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，可应用于指纹识别领域|
|USB 指纹登录器|无|由专用安全芯片、指纹传感器等组成，实现了 Windows Hello 和文件加解密两大功能|
|安全芯片|CUni360S-Z|具备接触和磁条卡操作功能的信息安全芯片。采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点|
|安全芯片|CCM3310S-T|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于智能密码钥匙、智能卡、读卡器、USB-Key 等产品中|
|安全 TF 卡|无|以国芯安全芯片为基础，设计开发的一款复合产品，既能作为普通 SD 卡存储数据，也能作为 SD-KEY，支持包括 Windows、Linux 等多种操作系统|
|安全 UKEY|无|以国芯安全芯片为基础，设计开发的一款多功能、多应用 UKEY，支持 Windows、Linux 等多种操作系统，支持 DES、AES、SM4 对称加密算法，支持 RSA、ECC 非对称加密算法|
|安全 U 盘 KEY|无|USB KEY 和安全 U 盘的复合产品，可广泛应用在 PKI 认证、数字签名、数据（实时）加解密和数据安全存储等方面|
|无源非接指纹卡|无|主要由 CCM4202S 处理器芯片、指纹传感器、NFC 芯片等组成。内置指纹芯片，具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势|
|指纹安全 U 盘 KEY|无|主要由 C*Core 处理器芯片、指纹传感器、存储芯片等组成。具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势|
|指纹安全 U 盘|无|主要由 C*Core 处理器芯片、指纹传感器、存储芯片等组成。具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势|
|安全芯片|CCM4201S|基于 Cortex-M4F 中央处理器（CPU）的多用途微控制器（MCU），具有极低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹识别，打印机，金融 POS 机，通用 MCU 等领域|
|安全芯片|CCM4202S|采用分立的 Cortex-M4 与 C*Core C0 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，安全级别达到国密二级水平，支持阿里 ID2 安全芯片和应用规范|
|安全芯片|CCM4208S|基于 Cortex-M4F 中央处理器（CPU）的多用途微控制器（MCU），具有低功耗、高性能、多功能及高安全性等特点，内置二维码/人脸识别硬件加速引擎，可广泛应用于二维码，指纹识别等领域|
