产品网址：https://www.china-core.com/product.php
产品结构：root->全部产品-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|NFC 微控制器|CN7160|支持所有符合 NFC Forum 的模式，包括读写器模式、卡模拟模式和点对点模式。内置射频前端同时支持无源负载调制和有源负载调制|
|安全芯片|CCM4202S|采用分立的 Cortex-M4 与 C*Core C0 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，安全级别达到国密二级水平，支持阿里 ID2 安全芯片和应用规范，可广泛应用|
|可信密码模块|TCM|基于 CUni360S 和 CCM3310S-H 芯片设计，模块接口符合 GM/T 0012-2012《可信计算 可信密码模块接口规范》，芯片符合 GM/T 002|
|安全高速 USB 模组|无|使用国芯安全芯片 CCP907T 设计开发的一款多功能、多应用 USB3.0 高速加解密模块，支持 Windows、Linux 等多种操作系统，支持 DES、AES、SM4 对称加密|
|安全芯片|CCM3305S|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。芯片集成了多种加密引擎模块、可广泛应用于移动支付、安全存储和数据实时加密等|
|安全芯片|CCM3310S-H|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于可信计算、网上银行、移动支付、数据安全、保密通信、版权控制|
|安全芯片|CCM3310S-LP|采用 32 位 CPU 安全内核 CRV0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于物联网、版权保护、智能表计、智能家电等领域|
|安全芯片|CCM4201S-L|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹识别领域|
|安全芯片|CCM4202S-EL|采用 Cortex-M4F 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹模组，智能门锁，POS 等产品中，以及网上银行、移动支付、数据安全、保密通信等领域|
|安全芯片|CUni360S|具备接触、非接、磁条卡操作功能的信息安全芯片。采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于金融支付、身份认证、物联网等领域|
|随机数芯片|CWNG10|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，用于产生真随机数序列，可广泛应用于加密卡、密码机、签名验签服务器、VPN 网关、安全路由器等产品中，满足安全通信中对真随机数的需求|
|安全芯片|CCM4202S-EL|采用 Cortex-M4F 内核进行设计，具有极低功耗、高性能、多功能及高安全性等特点，可广泛应用于指纹模组，智能门锁，POS 等产品中，以及网上银行、移动支付、数据安全、保密通信等领域|
|安全芯片|CCM4201S-P|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，主要应用于金融支付领域|
|安全芯片|CCM4101|采用独立的 Cortex-M4F 内核进行设计，具有低功耗、高性能、多功能及高安全性等特点，可应用于指纹识别领域|
|USB 指纹登录器|无|由专用安全芯片、指纹传感器等组成，实现了 Windows Hello 和文件加解密两大功能。Windows Hello 是一种生物特征授权方式，替代传统密码，在用户登录 Windows 和微软在线服务时提供更简单、更安全的身份验证方式|
|USB 指纹登录器 C10|无|由 C*Core 专用安全芯片、指纹传感器等组成，实现了 windows hello（以下简称 hello）和文件加解密两大功能。Hello 功能是一种生物特征授权方式，触摸指纹就可以登录访问自己的 Windows 设备和微软在线服务，无需输入密码|
|车载 SE 芯片|CCM3310S-T|基于 EFLASH 汽车电子工艺、采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。芯片内置高等级安全特性的硬件算法协处理器，支持多种加密算法和安全协议，可广泛应用于汽车电子领域，如车载信息娱乐系统、智能驾驶辅助系统、车联网等|
|安全芯片|CUni360S-Z|具备接触和磁条卡操作功能的信息安全芯片。采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点|
|金融终端安全芯片|CUni350S|具备接触和非接卡操作功能的信息安全芯片。采用国内具有自主知识产权的 32 位 CPU 安全内核 CS322D 进行设计，具有低功耗、高性能、多功能及高安全性等特点|
|移动终端安全芯片|A5(ET300)|采用国内具有自主知识产权的 32 位 CPU 安全内核 CS0 进行设计，具有低功耗、高性能、多功能及高安全性等特点。可广泛应用于加密手机、网上银行、移动支付、数据安全等领域|
