产品网址：https://www.china-core.com/News_show-119-88.html
产品结构：root->国芯科技和硅臻技术联合发展智能终端量子安全芯片技术和产品-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|安全气囊点火驱动芯片|无|无|
|汽车门控驱动芯片|无|无|
|CCP903T 云安全芯片|无|无|
|CCP907T 云安全芯片|无|无|
|CCM4202S 芯片|无|无|
|CUni360S 芯片|无|无|
|CCM4202S-EL 芯片|无|无|
|CCM4201S-P 芯片|无|无|
|CUni360S-Z 芯片|无|无|
|CCM4201S-L 芯片|无|无|
|CCM4101 芯片|无|无|
|CCM4201S 芯片|无|无|
|CCM4202S 芯片|无|无|
|CCM4208S 芯片|无|无|
|CCM3305S 芯片|无|无|
|CCM3310S-H 芯片|无|无|
|CCM3310S-LP 芯片|无|无|
|CCM3310S-T 芯片|无|无|
|CWNG10 芯片|无|无|
|CN7160 芯片|无|无|
|RAID 芯片 CCRD3316|无|无|
|H2040 高性能边缘计算芯片|无|无|
|H2048 双核高性能处理器芯片|无|无|
|H2068 双核高性能处理器芯片|无|无|
|CCP1080T 高性能高安全边缘计算芯片|无|无|
