产品网址：https://www.china-core.com/products_show.php?id=36&lm=16
产品结构：root->无源非接指纹卡-苏州国芯科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|无源非接指纹卡|无|内置指纹芯片，具有耐用、耐腐蚀、超强抗静电、小体积、低功耗、高安全性等优势。将指纹的处理、匹配、存储全部在 CCM4202S 芯片内部完成，处理速度快，采用射频进行通讯，可以自定义 COS 系统，用作基于公钥体系 PKI 的数字证书和私钥的安全载体，提供用户空间。密钥对在指纹卡内生成或者导入，私钥不能导出，确保证书持有人的信息安全，同时采用“硬件+指纹”的双重认证，保证数字证书和私钥的合法使用，提供高安全等级环境认证。具有抗攻击、不可复制、遗失不可使用等特性，在高安全等级门禁系统，数字加密钱包等领域具有优越性。|

参数,说明
处理器(MCU),CCM4202S
分辨率,508DPI
像素阵列,160*160
FAR,＜0.002%
FRR,＜2%
平均匹配时间,600ms
存储容量,10枚
数据接口,ISO-7816 & ISO-14443
算法类型,DES、AES、SM4、SHA及SM3、RSA、SM2
工作环境,温度：-10℃~+50℃
非接距离,2~3cm
特点,无源设计，线圈取电
