产品网址：https://www.eta-semi.com/product-cat/led-%e9%a9%b1%e5%8a%a8/%e7%ba%bf%e6%80%a7%e5%9e%8b
产品结构：首页->LED驱动->线性型

|产品名称|产品型号|功能描述|
|--|--|--|
|电源管理单元(PMIC)|无|无|
|升压（Boost）稳压器|无|无|
|直流转换控制器（MOS 外置）|无|无|
|降压-升压（Buck-Boost）转换器|无|无|
|降压（Buck）稳压器|无|无|
|次级同步整流芯片|无|无|
|氮化镓驱动器|无|无|
|外置功率管 PD 专用 PWM 芯片|无|无|
|外置功率管通用 PWM 芯片|无|无|
|内置功率管 PWM 芯片|无|无|
|线性型|无|无|
|降压型|无|无|
|升压型|无|无|
|低压差线性稳压器|无|无|
|负载开关|无|无|
|限流开关|无|无|
|过压保护|无|无|
|电子烟咪头系列|无|无|
|电量计|无|无|
|协议芯片|无|无|
|电平转换|无|无|
|无线充电|无|无|
|电池均衡|无|无|
|电荷泵充电|无|无|
|开关充电|无|无|
|线性充电|无|无|
|电源模块|无|无|
|数字音频功放|无|无|
|模拟音频功放|无|无|
|马达驱动|无|无|

Description,Architecture,Max No. of LEDs,Isw Max(A)
High brightness LED Driver,Linear,1,2.2
1 LED Driver,Linear,1,2.2
