产品网址：https://www.eta-semi.com/product-cat/%e6%8e%a5%e5%8f%a3%e4%bf%9d%e6%8a%a4/%e8%bf%87%e5%8e%8b%e4%bf%9d%e6%8a%a4
产品结构：首页->接口保护->过压保护

|产品名称|产品型号|功能描述|
|--|--|--|
|过压保护|无|无|

Description,Vin Range(V),Switch Rdson(mΩ),Response Time(ns),OVP trig(V),Package
36V/30mΩ low side over voltage protector,3.6-36,30,68,1.27,SOT23-6
50V/40mΩ high side over voltage protector,4.5-50,40,200,1.26,SOP7
20V/12mΩ low side over voltage protector,5-20,12,100,0.5,SOT23-6
36V/33mΩ high side over voltage protector w.500V 7V TVS,3.35-7,33,100,1.26,DFN3x3-12
36V/35mΩ high side over voltage protector,3.35-36,35,100,1.26,SOT23-6/DFN2x2-8
20V/10mΩ(40mΩ) high side over voltage protector,3.35-20,40/10,100,1.26,SOT23-6
36V/34mΩ low side over voltage protector,2-36,34,100,0.5,SOT23-6/DFN2x2-6
26V/40mΩ high side over voltage protector,4.1-24.5,40,60,Fix_5.85,FCQFN1.2x1.2-9/SOT23-6
32V/45mΩ high side over voltage protector,4.1-28,45,60,6.8,CSP2x3-6/SOT23-5
32V/30mΩ high side over voltage protector,3.5-20,30,100,6.9,CSP3x4-12
30V/2A OVP+OCP,3.5-30,130,70,Fix_6.15,DFN2x2-8
