产品网址：http://www.aszc.com/pro_list.asp
产品结构：root->产品展示_鞍山众成电子有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|高压二极管|无|无|
|2CLF 系列大电流高频高压硅堆|2CLF 系列|无|
|2CL 系列大电流高压硅堆|2CL 系列|无|
|2CL 系列工频高压硅堆|2CL 系列|无|
|SP 系列表面贴装型高压二极管|SP 系列|无|
|HPF 系列大电流高频高压二极管|HPF 系列|无|
|UF 系列高频高压二极管|UF 系列|无|
|HV37-F 系列高压二极管|HV37-F 系列|无|
|HV37-系列高压二极管|HV37-系列|无|
|HV 系列高压二极管|HV 系列|无|
|CLF 系列高压二极管|CLF 系列|无|
|CL50 系列高压二极管|CL50 系列|无|
|2CL2 型高压二极管|2CL2 型|无|

联系人：樊绪成
手机：18604128286
电话：0412-2535848
传真：0412-8991979
Q Q：2621165963
企业邮箱：aszcdz@163.com
地址：鞍山市千山区达道湾红旗南街24号



