产品网址：https://en.coolsemi.com/product/SGT
产品结构：root->SGT-Productcenter-CoolSemi

|产品名称|产品型号|功能描述|
|----|----|----|
|Shielded Gate Trench MOSFET (SGT)|无|使用超深沟槽设计，屏蔽栅极和源极之间的连接短路，屏蔽大部分 Qgd 电荷，大大降低了器件的米勒电容，有效提高了器件的开关速度，具有更低的开关损耗。更深的沟槽深度和更低的导通电阻，导致更低的导通损耗。|

Product,Data Sheet,BV(V),ID,RDS(on)(mΩ)@ Typ.,RDS(on)(mΩ)@ Max.,V(GS)th(V),Package
The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed
CSW042N12S2,Download,120,140,3.7,4.2,3,TO-247
CSLS250ND08S2,Download,80,30,22,25,1.7,PDFN5*6
CSD100N10G1,Download,100,60,8,10,1.8,TO-252
CSLS100N10G1,Download,100,60,8,10,1.8,PDFN5*6
CSW220N25S2,Download,250,95,15.7,22,3,TO-247
CSB220N25S2,Download,250,95,15.7,22,3,TO-263
CSP220N25S2,Download,250,95,15.9,22,3,TO-220
CSW200N25S2,Download,250,100,15.2,20,3,TO-247
CSB200N25S2,Download,250,100,15,20,3,TO-263
CSP200N25S2,Download,250,100,15.4,20,3,TO-220
CSD120N10S2,Download,100,80,9.5,12,1.8,TO-252
CSB120N10S2,Download,100,80,9.5,12,1.8,TO-263
CSP120N10S2,Download,100,80,9.8,12,1.8,TO-220
CSW110N20S2,Download,200,135,8.4,10,3,TO-247
CSB110N20S2,Download,200,135,8.7,10,3,TO-263
CSP110N20S2,Download,200,135,9,10,3,TO-220
CSW025N10S2,Download,100,280,2.15,2.5,3,TO-247
CSB025N10S2,Download,100,280,2.3,2.6,3,TO-220
CSP025N10S2,Download,100,280,2.15,2.5,3,TO-263
CSW022N10S2,Download,100,320,1.65,2.2,2.9,TO-247
CSB022N10S2,Download,100,320,1.75,2.2,2.9,TO-263
CSP022N10S2,Download,100,320,2,2.4,2.9,TO-220
CST220N25S2,Download,250,100,15.5,22,3,TOLL
CST110N20S2,Download,200,145,8.2,11,3,TOLL
CST100N20S2,Download,200,160,7.5,10,3,TOLL
CST038N12S2,Download,120,190,3.3,3.8,3,TOLL
CST018N10S2,Download,100,350,1.4,1.8,2.9,TOLL
CSLS150ND06S2,Download,60,45,13.5,18,1.8,PDFN5*6
CSLS120N10S2,Download,100,60,10.5,12,1.8,PDFN5*6
CSD065N08S2,Download,80,85,5.8,6.5,1.7,TO-252
CSC120N10S2A,Download,100,80,9.5,12,1.8,TO-220
CSC100N10G1,Download,100,90,8,10,1.8,TO-220
CSC090N12S2,Download,120,75,7,9,3,PDFN5*6
CSC027N10S2A,Download,100,320,2,2.3,2.9,TO-220
CSC020N10S2A,Download,100,350,1.75,2,2.9,TO-220
CSB020N10S2,Download,100,350,1.6,2,2.9,TO-263
CSW020N10S2,Download,100,350,1.55,2,2.9,TO-247
CSP020N10S2,Download,100,350,1.75,2,2.9,TO-220
CST015N10S2,Download,100,400,1.15,1.5,2.9,TOLL
CSLS090N12S2,Download,120,75,7,9,3,PDFN5*6
CSA090N12S2,Download,120,16,7.8,9,3,TO-220F
CST065N15S2,Download,150,180,5.6,6.5,3,TOLL
CSW020N08S2,Download,80,300,1.9,2.3,2.8,TO-247
CST025N10S2,Download,100,300,1.85,2.5,2.9,TOLL
CSW030N08S2,Download,80,225,2.4,3,2.8,TO-247
CSB030N08S2,Download,80,225,2.3,3,2.8,TO-263
CSP030N08S2,Download,80,225,2.5,3,2.8,TO-220
CSW024N10S2,Download,100,300,2.1,2.4,2.8,TO-247
CSB024N10S2,Download,100,300,2,2.4,2.8,TO-263
CSP024N10S2,Download,100,300,2.2,2.4,2.8,TO-220
CSW023N06S2,Download,60,240,1.8,2.2,1.7,TO-247
CSB023N06S2,Download,60,240,1.7,2.2,1.7,TO-263
CSP023N06S2,Download,60,240,1.9,2.2,1.7,TO-220
CSB020N06S2,Download,60,330,1.5,2,2.8,TO-263
CSP020N06S2,Download,60,330,1.7,2,2.8,TO-220
CSW016N08S2,Download,80,330,1.4,1.6,2.8,TO-247
CSB016N08S2,Download,80,300,1.3,1.6,2.8,TO-263
CSP016N08S2,Download,80,300,1.5,1.7,2.8,TO-220
CST050N15S2,Download,150,200,4,5,3.1,TOLL
