产品网址：https://www.coolsemi.com/product/SJ
产品结构：root->SJ-产品中心-功成半导体_上海功成半导体公司

|产品名称|产品型号|功能描述|
|----|----|----|
|超结器件（Super Junction MOSFET）|无|实现 N 型和 P 型周期排列结型耐压层，引入高浓度等量异型电荷，从表面场转换到体内场，相对于传统 VDMOS 器件 Rdson*A-BV 关系从 2.5 次方变为 1.32 次方。采用先进的超结技术和优化的设计结构，极低特征导通电阻（Rdson*A）优于 Infineon C6 系列，有效提升开关电源的效率及功率密度。|

Product,Data Sheet,BV(V),ID,RDS(on)(mΩ)@10V Typ.,RDS(on)(mΩ)@10V Max.,Vth(V),Package
具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认
CPA120R690G1,下载,1200,12,650,690,4,TO-220F
CPW120R690G1,下载,1200,12,650,690,4,TO-247
CPB120R690G1,下载,1200,12,650,690,4,TO-263
CPP120R690G1,下载,1200,12,650,690,4,TO-220
CPA55R380T4,下载,550,11,340,380,3,TO-220F
CPB55R380T4,下载,550,11,340,380,3,TO-263
CPD55R380T4,下载,550,11,340,380,3,TO-252
CPP55R380T4,下载,550,11,340,380,3,TO-220
CPD70R960G2,下载,700,4.5,860,960,3.3,TO-252
CPW90R160FD1,下载,900,21,140,160,3.5,TO-247
CPA65R300T4,下载,650,12,260,300,3,TO-220F
CPB65R300T4,下载,650,12,260,300,3,TO-263
CPD65R300T4,下载,650,12,260,300,3,TO-252
CPP65R300T4,下载,650,12,260,300,3,TO-220
CPA60R650FT4S,下载,600,8,550,650,4,TO-220F
CPB60R650FT4S,下载,600,8,550,650,4,TO-263
CPD60R650FT4S,下载,600,8,550,650,4,TO-252
CPP60R650FT4S,下载,600,8,550,660,4,TO-220
CPA60R300T4,下载,600,12,0.26,0.3,3,TO-220F
CPB60R300T4,下载,600,12,0.26,0.3,3,TO-263
CPD60R300T4,下载,600,12,0.26,0.3,3,TO-252
CPP60R300T4,下载,600,12,0.26,0.3,3,TO-220
CPP60R190T4,下载,600,20,160,190,3.5,TO-220
CPW60R042FT4,下载,600,78,35,42,4,TO-247
CPW60R026FT4B,下载,600,102,23,26,3.8,TO-247
CPW55R026FT4B,下载,550,102,23,26,3.8,TO-247
CPA60R190T4,下载,600,20,160,190,3.5,TO-220F
CPB60R190T4,下载,600,20,160,190,3.5,TO-263
CPD60R190T4,下载,600,20,160,190,3.5,TO-252
CPA65R310FT4,下载,650,12,270,310,4,TO-220F
CPB65R310FT4,下载,650,12,270,310,4,TO-263
CPD65R310FT4,下载,650,12,270,310,4,TO-252
CPP65R310FT4,下载,650,12,270,310,4,TO-220
CPW60R050FT4,下载,600,66,40,50,4,TO-247
CPP65R600T4,下载,650,8,500,600,3,TO-220
CPZ65R040FT4,下载,650,80,33,40,3.8,TO-247-4L
CPZ65R027FT4B,下载,650,102,2250,2700,4,TO-247-4L
CPI65R650G2,下载,650,8,560,650,3.2,TO-251
CPA65R650G2B,下载,650,8,560,650,3.2,TO-220F
CPD65R650G2B,下载,650,8,560,650,3.2,TO-252
CPI65R650G2B,下载,650,8,560,650,3.2,TO-251
CPP65R650G2B,下载,650,8,560,650,3.2,TO-220
CPA65R650FT4,下载,650,8,550,650,4,TO-220F
CPB65R650FT4,下载,650,8,550,650,4,TO-263
CPP65R650FT4,下载,650,8,550,650,4,TO-220
