产品网址：https://en.coolsemi.com/product/SiC%20SBD
产品结构：root->SiCSBD-Productcenter-CoolSemi

|产品名称|产品型号|功能描述|
|--|--|--|
|Schottky Barrier Diode (SBD)|无|具有更高的阻断电压、几乎为零的反向恢复、更好的热稳定性以及不受温度影响的反向恢复特性|
|Silicon Carbide Diode|无|结合了肖特基结构的出色开关特性和 PiN 结构的低漏电流特性|

Product,Data Sheet,VR(V),IF(A),VF(TJ =25℃) (V),TJ(Min.) (℃),TJ(Max.) (℃),IFSM (A),Package
The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,The specific parameters and test conditions are mainly based on the content of the Data Sheet report; 0 indicates to be confirmed,
CDH08G065D2,Download,650,8,1.23,-55,175,100,TO-220-2
CDI08G065D2,Download,650,8,1.23,-55,175,100,TO-220I-2
CDF08G065D2,Download,650,8,1.23,-55,175,100,TO-220F-2
CDM08G065D2,Download,650,8,1.23,-55,175,100,TO-252-2
CDWD08G065D2,Download,650,8,1.23,-55,175,100,TO-247-2
CDK08G065D2,Download,650,8,1.23,-55,175,100,TO-263-2
CDH10G065D2,Download,650,10,1.29,-55,175,100,TO-220-2
CDI10G065D2,Download,650,10,1.29,-55,175,100,TO-220I-2
CDF10G065D2,Download,650,10,1.29,-55,175,100,TO-220F-2
CDM10G065D2,Download,650,10,1.29,-55,175,100,TO-252-2
CDWD10G065D2,Download,650,10,1.29,-55,175,100,TO-247-2
CDK10G065D2,Download,650,10,1.29,-55,175,100,TO-263-2
CDH15G065D2,Download,650,15,1.42,-55,175,100,TO-220-2
CDI15G065D2,Download,650,15,1.42,-55,175,100,TO-220I-2
CDF15G065D2,Download,650,15,1.42,-55,175,100,TO-220F-2
CDM15G065D2,Download,650,15,1.42,-55,175,100,TO-252-2
CDWD15G065D2,Download,650,15,1.42,-55,175,100,TO-247-2
CDK15G065D2,Download,650,15,1.42,-55,175,100,TO-263-2
CDW16G065D2,Download,650,16,1.23,-55,175,100,TO-247-3
CDW20G065D2,Download,650,20,1.29,-55,175,100,TO-247-3
CDW30G065D2,Download,650,30,1.42,-55,175,100,TO-247-3
