产品网址：https://www.xlsemi.com/products_MD_IPM.html
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|DC-DC 电源管理|降压型变换器|中压降压、中压降压同步整流、高压降压、高压降压同步整流、升压型变换器、中压升压（内置 SBD）、中压升压同步整流、高压升压、LED 驱动、降压恒流驱动、降压同步整流恒流驱动、升压恒流驱动、升压恒流驱动（内置 SBD）、背光驱动|
|AC-DC 电源管理|非隔离型变换器、隔离型变换器|无|
|BMS|电池监控与均衡器、电池保护器、主动均衡器|无|
|Motor Drivers|IPM|无|
|信号链|直流电源载波通讯|无|
|音频功放|AB 类音频功率放大器、D 类音频功率放大器|无|
|MEMS 传感器|霍尔传感器、红外传感器、压力传感器|霍尔开关传感器、线性传感器、电流传感器、非分光红外型气体探测器、非接触式温度传感器、非制冷红外热电堆阵列探测器、非制冷氧化钒红外焦平面探测器、表压传感器、绝压传感器|

型号,输入信号,电压,电流值,内阻,集成BSD,封装形式,演示版说明,规格书
XL5762  新品！,"HIN,LIN",600V,2A,3R,Y,"SOP-23H,DIP-23E",/,/
XL5763  新品！,"HIN,LIN",600V,3A,2R,Y,"SOP-23H,DIP-23E",/,/
XL5765  新品！,"HIN,LIN",600V,5A,1R,Y,"SOP-23H,DIP-23E",/,/
