产品网址：https://www.xlsemi.com/products_DC_DC_buck_mvsr.html#
产品结构：root->上海芯龙半导体技术股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|中压降压同步整流恒压+恒流芯片|无|工作电压范围 5~45V，最大开关电流 4A，内置恒压+恒流功能模块，支持输出电流调节及多路并联输出，具有出色的瞬态负载响应特性、线性调整率和负载调整率，转换效率最高可达 96%，内置补偿模块，外围电路精简，可靠性高；可应用于汽车电子、工业控制、消费类电子等领域|

型号,产品特征,功率,输入电压,频率,开关电流,电压精度,效率,输出电压,基准电压,封装,演示版说明,规格书
XL9004,同步、恒压+恒流,12W,5~45V,200KHz,2A,±2%,95%,ADJ,1.25V,SOP8-EP,,
XL9005,同步、恒压+恒流,15W,5~45V,200KHz,3A,±2%,95%,ADJ,1.25V,SOP8-EP,,
XL9021,同步、恒压、使能,10W,5~36V,150KHz,2.5A,±2%,95%,ADJ,1.25V,SOP8,,
XL9022,同步、恒压、使能,15W,5~45V,150KHz,2.5A,±2%,95%,ADJ,1.25V,SOP8-EP,,
XL9023,同步、恒压、大功率,30W,5~40V,120KHz,4A,±2%,95%,ADJ,1.25V,TO252-5L,,
XL9009,同步、恒压+恒流、使能,12W,5~45V,200KHz,2A,±2%,93%,ADJ,1.25V,SOP8-EP,,
XL9010,同步、恒压+恒流、使能,15W,5~45V,200KHz,3A,±2%,94%,ADJ,1.25V,SOP8-EP,,
XL9025,同步、恒压、大功率,50W,5~40V,120KHz,4A,±2%,96%,ADJ,1.25V,TO263-5L,,
XL9026,同步、恒压、大功率,80W,5~45V,120KHz,6A,±2%,96%,ADJ,1.25V,TO220-5L,,
XL9027,同步、恒压+恒流、大功率,50W,5~45V,120KHz,4A,±2%,96%,ADJ,1.25V,TO263-7L,,
XL9028,同步、恒压+恒流、大功率,60W,5~45V,120KHz,6A,±2%,96%,ADJ,1.25V,TO263-7L,,
XL9006  新品！,同步、恒压+恒流,8W,5~40V,200KHz,0.6A,±2%,96%,ADJ/5V,1.25V/5V,SOT23-6,/,/
XL9007  新品！,同步、恒压+恒流,10W,8~40V,200KHz,2A,±2%,96%,ADJ/5V,1.25V/5V,DFN3*3-8,/,/
XL9008  新品！,同步、恒压+恒流,15W,5~40V,200KHz,3A,±2%,96%,ADJ/5V,1.25V/5V,SOP8-EP,/,/
XL9031  新品！,同步、恒压、高频、使能,8W,3.6~40V,800KHz,0.4A,±2%,96%,ADJ,1.25V,SOT23-6,/,/
XL9032  新品！,同步、恒压、高频、使能,10W,3.6~40V,800KHz,0.8A,±2%,96%,ADJ,1.25V,DFN3*3-8,/,/


序号,功能描述,所属应用,文件阅览
1,隔离方案原理、XL9022 隔离电源方案参考数据,方案实例,高性能隔离电源方案简介.pdf
