产品网址：http://www.beidian.com.cn/products/product.aspx?pg_id=1
产品结构：首页->产品中心->通信电源->上海贝电-

|产品名称|产品型号|功能描述|
|--|--|--|
|直流配电智能监控系统|DDCM 系列|为各种直流配电屏柜提供可视化的测量监视功能，网络化的远程集中管理功能|
|2U 嵌入式电源|BDPE4890|采用标准 19/21 英寸 2U 结构，小巧灵活，方便嵌入各种通信设备和机柜，适合无线、终端等应用|
|1U 嵌入式电源|BDPE4860|采用标准 19/21 英寸 1U 结构，小巧灵活，方便嵌入各种通信设备和机柜，适合无线、终端等应用|
|3U 嵌入式电源|BDPE48150|采用标准 19/21 英寸 3U 结构，紧凑灵活，方便嵌入各种室内外机柜，适合无线、终端等应用|
|BDMPS 系列组合开关电源系统|无|适用于通信基站、中小容量交换局、卫星通信、数据通信、铁路以及电力系统等电网波动较大的场合|
|BDOP 系列室外一体化开关电源|无|主要由室外机柜、高频开关整流模块、监控模块、蓄电池组、交直流配电单元等组成|
|BDPAD 系列防水室外电源、RRU 电源|无|结构紧凑、性能可靠，输入电压适应范围宽达 90-290V、输出效率高达 90%以上|
|PDU0012 交流配电盘|PDU0012|为各种通信机柜、机架等产品进行交流配电，并提供保护的设备，可固定在 19 英寸宽的电源机柜中|
|PDU0400 直流分配盘|PDU0400|为各种通信机柜、机架等产品进行直流配电，并提供保护的设备|
|PDU0800 直流分配盘|PDU0800|采用 19 英寸标准结构，高度仅为 1U，可提供 8 路分路和保护功能，前接线，适合各种需要|
