产品网址：https://huahuan.com/en/index.php?m=default.product&fid=2&ccid=&ncid=151
产品结构：root->Huahuan_Products

|产品名称|产品型号|功能描述|
|----|----|----|
|Compact IPRAN/MPLS Platform|无|无|
|Compact PTN Platform|无|无|
|Carrier Ethernet/EDD/NID|无|无|
|Media Converter|无|无|
|Fiber-Optic/4G Dual-routi...|无|无|
|GPON|无|无|
|PON Optical Module|无|无|
|SDH+PCM Integrated Servic...|无|无|
|Compact SDH+PCM Multiplexer|无|无|
|SDH+MPLS+PCM Hybrid Multi...|无|无|
|SDH+MPLS-TP Dual-core Mux|无|无|
|SDH Multiplexer|无|无|
|PDH Multiplexer|无|无|
|Integrated Service Access|无|无|
|Compact PCM Multiplexer|无|无|
|Converter Rack|无|无|
|EoPDH Converter|无|无|
|V.35 over E1 Converter|无|无|
|EoSDH Converter|无|无|
|Ethernet over E3/DS3 Conv...|无|无|
|TDM over IP|无|无|
|Enterprise Gateway|无|无|
|OTN|无|无|
|Optical Line Protection|无|无|
|IP Radio|无|无|
|Optical Module|无|无|
|NMS|无|无|
|PTP/IEEE 1588 Grandmaster...|无|无|
|Small Cell HSC103 Femto C...|无|无|
|Small Cell HSC312 Nano Cell|无|无|
