产品网址：http://icpc.cn/cms/item/view?table=product&id=44
产品结构：当前位置：首页->产品与服务->申威->模块->CPB0074COMe-SW411嵌入式

|产品名称|产品型号|功能描述|
|--|--|--|
|CPB0074 COMe-SW411 嵌入式模块化计算机|CPB0074|以国产申威 411 四核处理器为核心，高可靠性和高效能的 COM Express 模块化计算机，兼容 PICMG COM Express Type 2 型规范，表贴 4GB DDR3-1600 ECC 内存，集成多种接口和总线，支持可信安全接口。具有尺寸紧凑、性能高、接口功能多、互换性良好，扩展设计方便灵活，可塑性强等特点。可应用于轨道交通、网络安全、电力系统、能源等控制领域。|




CPU,申威411四核处理器，主频1.4GHz
内存,表贴4GB DDR3-1600 ECC内存
外部总线,1x PCI 接口32 bit/33MHz
外部总线,1x PCI Express(x8)
外部总线,4x PCI Express(x1)
外部总线,1x LPC总线
外围接口,1x 10/100/1000Mbps  以太网口
外围接口,1x AC’97 Audio
外围接口,1x LVDS(双通道36bit)
外围接口,1x VGA
外围接口,2x SATA 接口
外围接口,4x USB2.0 Host 接口
外围接口,1x IIC 接口
外围接口,1x IDE 接口
其它,RTC时钟、WatchDog、温度传感器、网络唤醒
功耗,典型功耗：40W@12V（典型值，1.4GHz主频）
湿度,工作：10% ～ 90% 无凝结  非工作：5% ～ 95%
温度,工作：分为A、B、C三档，详见订货信息
温度,存储：-55℃ ～ +85℃
冲击,20G
振动,5Hz～500Hz随机
尺寸,95mm x 125mm x  12mm（不含散热器）
