产品网址：http://icpc.cn/cms/item/view?table=product&id=102
产品结构：当前位置：首页->产品与服务->龙芯->主板->PP-M0401龙芯2k1000平板电脑

|产品名称|产品型号|功能描述|
|--|--|--|
|龙芯 2k1000 平板电脑主板|PP-M0401|以龙芯 2K1000 处理器为核心，集成两个 GS264 处理器核和多种外设接口，板贴 4GB 的 64bit 宽的 DDR3 内存，支持的 mSATA 电子盘用于系统和用户程序。提供 LVDS 和 EDP 显示接口，可支持多种尺寸大小高清屏，最大分辨率可达 1920x1200。提供触摸液晶屏接口，外部接口有一路千兆网、2 路 USB、1 路 HDMI、一路音频。支持摄像头和指纹识别模块、支持北斗导航模块。支持 4/8GB DDR3 内存，支持最大分辨率 1920x1200，支持充放电管理，提供触摸液晶屏接口，支持多点电容式触屏，支持摄像头和指纹识别|




处理器,国产龙芯2K1000处理器，主频800MHz~1GHz
内存,DDR3板贴内存，容量可选4GB/8GB
显市,支持LVDS /EDP高清液晶屏显示（最大分辨率1920x1200）  支持mini-HDMI同时显示（最大分辨率1920x1200）
供电,"直流9V~36V,默认19V工作 支持电池供电"
扩展功能,摄像头；指纹识别；MIC  Speaker；2xUSB；风扇接口  支持WIFI模块；支持minipcie卡（4G模块可选）  支持北斗模块；支持显示背光调节功能  支持两路串口；支持电池充放电管理  支持两路CAN2.0；板载RTC
网络,2路10/100/1000BASE自适应网口
触屏,支持多点电容式触屏
外部存储,TF卡
电子盘,"容量不小于64GB,可选配自毁功能"
操作系统,LoongniXx中标麒麟
功耗,整版最大功耗不大于12W
温度范围,工作温度：-40°C〜+55°C  贮存温度：-50°C〜+70°C
