产品网址：https://www.ipinyou.com/product/alphadata/#
产品结构：root->DeepZero|iPinYouAlphaData-AdvancedPlatformforBetterCampaignDataManagement

|产品名称|产品型号|功能描述|
|--|--|--|
|AlphaDesk|无|中国媒体激活|
|Optimus DSP|无|无|
|Trading Desk|无|无|
|Campaign Management|无|无|
|AlphaData™|无|数据激活|
|DMP|DeepZero|iPinYou DMP|收集、组织和激活来自各种在线、离线和移动来源的第一、第二和第三方受众数据，用于受众细分、构建相似受众和优化付费媒体支出，以提高数字营销绩效|
|CDP|Deepzero|iPinYou CDP|可以聚合、管理和分析中国的大规模客户数据，为营销决策和营销自动化应用提供数据洞察，帮助企业实现高效营销和增值数据资产|
|Marketing Automation|Deepzero|iPinYou Marketing Automation (MA)|可以智能安排数字营销策略以发展业务并自动执行任务，提供针对受众、时间、渠道和行为的特定消息|
|Holmes AI|DeepZero|iPinYou Holmes AI|建模技术支持所有产品，包括程序化广告和用户操作，可以使用各种算法模型自动化数据和营销操作|
