产品网址：https://www.lynxi.com/lingqisupsupKA200xilie/34.html
产品结构：产品中心类脑计算边缘产品->领启®KA200(-S)系列->HS140

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算边缘产品|HS140|具有超强计算性能、大容量存储、配置灵活、体积小、支持温度范围宽、环境适应性强、易于维护管理等特点。主要应用于智能视频监控、分析、数据存储等应用场景，可以广泛部署在各类边缘、中心机房，满足在社区、园区、超市等复杂环境区域的应用。支持各类边缘、智慧园区/安防/商业/交通等多领域多场景灵活部署。|

计算单元  （可选1~4个）,KA200(-S) 类脑计算芯片  30 组计算单元  25 万个神经元  2500 万个神经突触  8 个 ARM Cortex-A53 core
计算单元  （可选1~4个）,AI 算力  48TOPS（INT8）  24TFLOPS（FP16）
计算单元  （可选1~4个）,内存：LPDDR4X
计算单元  （可选1~4个）,容量：8GB
计算单元  （可选1~4个）,位宽：64bit
计算单元  （可选1~4个）,速率：3200MT/s
计算单元  （可选1~4个）,模块存储  32GB/64GB eMMC  8MB SPI Nor Flash
计算单元  （可选1~4个）,图像 / 视频编解码能力  JENC：300fps@1920*1080  JDEC：250fps@1920*1080  VENC：250fps@1920*1080  VDEC：500fps@1920*1080
存储,SD 卡槽 x1， 支持 TF 卡，最大容量 128GB  支持 SD 规范 v3.0 UHS-I: SDR25/SDR50  M.2 SATA硬盘接口x2，尺寸2280，符合SATA3.0规范
RS232 接口,3 个
RS485 接口,1 个
千兆以太网接口,2 个，10Mbps/100Mbps/1000Mbps 自适应。
USB3.0接口 Host,3 个，Type A，每个接口供电能力不低于 1A。
USB 3.0 OTG,1 个，Type A
Type C,1 个，Debug 接口
信号输入/输出接口,信号输入 4 个，隔离输入，限压 24V 输入，限流 50mA；  信号输出 4 个，隔离输出，限压 24V 输入，限流 50mA。
CAN 接口,1 个，兼容 CAN 2.0B 协议。
信号输入 / 输出接口,信号输出 4 个，隔离输出，输出电压可根据电压引脚配置；  信号输入 4 个，隔离输入，限压 24V 输入，限流 10mA。
HDMI OUT,1 个；支持 4K@60fps 分辨率输出；支持 HDMI 2.1 协议。
电源接口,12V 供电
GND 接口,2 个，数字地
工作温度,-20℃~+50℃
工作湿度,5%~90%（RH，无冷凝）
认证,CCC
散热方式,被动散热
功耗,峰值功耗：60W，典型功耗58W
尺寸,宽×深×高：255mm×206mm×61mm
重量,3066g
操作系统,Ubuntu 20.04
