产品网址：https://www.lynxi.com/lingqiKA2001/35.html
产品结构：产品中心类脑计算服务器->领启®KA200(-S)系列->SL600

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算服务器|SL600|是基于英特尔(Intel)处理器、灵汐科技自研的类脑计算芯片构建的一款面向云计算、大数据、AI 等场景的类脑计算服务器。可为数据分析、软件定义数据中心、人工智能训练等应用提供出色的总体成本控制（TCO），可以轻松满足低延迟、计算密集型和数据密集型工作负载需求。最高支持 64 个计算核心、128 个 PCIe 通道及 32 条 DDR4 内存，实现计算与 I/O 的平衡，轻松挑战计算&数据密集型项目及对服务器性能、扩展性和可靠性要求高的大数据中心环境。|

规格,2U 机架式标准机
类脑计算卡,HP201 类脑计算卡，数量支持 1～8 个（算力至少 64TOPS），支持至少 64 路视频分析
CPU,支持HG7375、HG7385、HG7365、HG7360
内存,32 个内存插槽，最大可扩展至 4TB  内存 支持 2933MHz DDR4 内存；支持 RDIMM、LRDIMM
网络控制器,OCP 专用扩展槽位，采用标准 OPC 3.0 模块，可选支持 1G、10G、25G 网络
存储控制器,SAS 卡支持 RAID0/1，SAS RAID 卡支持 RAID 0/1/5/6/50/60  支持 Cache 超级电容保护，提供 RAID 状态迁移、RAID 配置记忆等功能
硬盘方案,前置:  支持 12 颗 3.5 寸（兼容 2.5 寸）热插拔 SAS/SATA HDD  或 4 颗 3.5 寸（兼容 2.5 寸）热插拔 SAS/SATA HDD+8 颗 U.2  或 4 颗 3.5 寸（兼容 2.5 寸）热插拔 SAS/SATA HDD+8 颗 KT2 智能分析盘  后置:支持 4 颗 2.5 寸热插拔 SATA/SAS HDD  内置:支持 2 个 M.2 SSD（SATA 通道），内置 1 个 SD 卡槽位
管理功能,集成 BMC 芯片，支持 IPMI2.0、SOL、KVM Over IP、虚拟媒介等高级管理功能
光驱,可选支持 USB DVD-RW 光驱
显卡,集成显示控制器，32MB 显存，最大分辨率 1920×1080  可选支持最多 3 张全高全长双宽显卡或 GPU 卡，单卡功率 300W  可选支持最多 8 张半长半长单宽显卡或 GPU 卡，单卡功率 75W
操作系统,Ubuntu 20.04、UOS 20、HIKOS R5 、 麒麟 V10 操作系统 \Windows Server 2016
USB 接口,前置：USB3.0 接口×2 、后置：USB3.0 接口×2 、内置：USB3.0 接口×1
VGA 接口,前置：VGA 接口×1 、后置：VGA 接口×1
管理接口,IPMI RJ45 管理接口×1
PCIe 扩展能力,最大可支持 11 个 PCIe 3.0 扩展插槽（含 1 个阵列卡专用插槽和 2 OCP 专用插槽）
内存插槽数,内存插槽×32
电源,可选 800W，1200W 或 1600W CRPS 高效白金电源/钛金电源，可增配至 1+1 冗余
散热,热插拔风扇模组×4，支持 3+1 冗余
电源电压,200～240V 50/60Hz
工作温度,5℃～40℃
存储温度,-40℃～60℃
工作湿度,最大相对湿度 90%RH（40℃） 35%～80% RH
设备净重,最大 33.5Kg（不含导轨）
机箱尺寸（高×宽×深）,87.5mm×446.6mm×835mm  87.5mm×484.6mm×835mm（含箱耳）
