产品网址：http://www.znwdz.com/productinfo/272159.html
产品结构：root->场效应管TO-251封装-厦门中能微电子有限公司-凯茂半导体（厦门）有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应管|TO-251 封装|无|

TYPENO.,PACKAGE,ID(A),VDSS(V),RDS(on)(Ω),VGS(th)(V),CISS(pf),Download
KM2N60M,TO-251,2,600,3.3,2-4,310,Datasheet
KM2N65M,TO-251,2,650,3.8,2-4,310,Datasheet
KM4N60M,TO-251,4,600,1.9,2-4,450,Datasheet
KM4N65M,TO-251,4,650,2.3,2-4,464,Datasheet
KM4N70M,TO-251,4,700,2.7,2-4,350,Datasheet
KM4N80M,TO-251,4,800,3.0,2-4,300,Datasheet
KM4N90M,TO-251,4,900,3.3,2-4,200,Datasheet
KM5N50M,TO-251,5,500,1.4,2-4,565,Datasheet
KM6N40M,TO-251,6,400,0.95,2-4,1192,Datasheet
KM8N60M,TO-251,7,600,1.0,2-4,1192,Datasheet
KM7N65M,TO-251,7,650,1.15,2-4,1192,Datasheet
KM7N70M,TO-251,7,700,1.35,2-4,1192,Datasheet
KM8N50M,TO-251,8,500,0.68,2-4,1192,Datasheet
KM8N65M,TO-251,8,650,1.1,2-4,1192,Datasheet
KM10N40M,TO-251,10,400,0.48,2-4,1192,Datasheet
KM10N45M,TO-251,10,450,0.53,2-4,1192,Datasheet
KM12N40M,TO-251,12,400,0.35,2-4,1940,Datasheet
