产品网址：https://autochips.com/products.html?pro=soft&rid=3
产品结构：root->产品服务_杰发科技-汽车电子芯片专业设计公司

|产品名称|产品型号|功能描述|
|--|--|--|
|汽车应用处理器|AC8025|无|
|汽车应用处理器|AC8015|无|
|汽车应用处理器|AC8257|无|
|车联网模组|AC8257|无|
|汽车应用处理器|AC8225|无|
|汽车应用处理器|AC8227L|无|
|车规级微控制器|AC7840x|无|
|车规级微控制器|AC7802x|无|
|车规级微控制器|AC7801x|无|
|车规级微控制器|AC781x|无|
|音频功率放大器|AC7325|无|
|胎压监测专用传感器芯片|AC5121|无|
|软件平台|AVM|成熟量产的完整解决方案，满足客户定制化需求|
|解决方案|电机算法|AutoChips 自主知识产权电机控制算法|
|车载音频功率放大器|无|车规级 ClassAB 类音频功率放大器芯片|
|胎压监测专用传感器芯片|无|首款全集成高性能胎压监测专用传感器芯片|
|解决方案|电机方案|AutoChips 自主知识产权电机控制算法|
|软件平台|AVM|成熟量产的完整解决方案，满足客户定制化需求|
|汽车应用处理器|无|量产五代高性能、高可靠性的汽车应用处理器芯片|
|车规级微控制器|无|量产四代覆盖全车应用的车辆微控制器芯片|
|车载音频功率放大器|无|车规级 ClassAB 类音频功率放大器芯片|
|胎压监测专用传感器芯片|无|首款全集成高性能胎压监测专用传感器芯片|
|360°3D 高清环视 AVM|无|成熟量产的完整解决方案，满足客户定制化需求|
