产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/275.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Starlight IR Dome Camera(Europe)|TC-C32KS|Metal+Plastic Housing，Up to 1920x1080@30fps，S+265/H.265/H.264B/H.264M/H.264H|
|5MP Fixed Starlight IR Bullet Camera(Europe)|TC-C35WS|Metal+Plastic Housing，Up to 2592x1944@20fps，S+265/H.265/H.264|
|8MP Fixed Panoramic Bullet Camera(Jordan)|TC-C382V|Metal+plastic housing，Up to Max. 4640×1728 @25fps resolution|
|5MP Motorized Starlight IR Bullet Camera(Jordan)|TC-C35US|Metal housing，Up to Max. 2880x1620@30fps resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|5MP Fixed Starlight IR Turret Camera(Jordan)|TC-C35XS|Metal housing，Up to Max. 2880×1620@30 fps resolution|
|5MP Starlight Motorized IR Bullet Camera(Jordan)|TC-C35TS|Metal housing，Up to Max. 2880×1620 @30 fps resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|5MP Starlight Motorized IR Dome Camera(Jordan)|TC-C35MS|Metal housing，Up to Max. 2880×1620@30 fps resolution，S+265/H.265/H.264B/H.264M/H.264H/Motion JPEG|
|4MP Motorized IR Bullet Camera（Jordan）|TC-C34UN|Metal+Plastic Housing，Motorized Lens 2.8-12mm，Up to 2688x1520@25fps，S+265/H.265/H.264|
|4MP Motorized IR Dome Camera（Jordan）|TC-C34KN|Plastic Housing，Motorized Lens 2.8-12mm，Up to 2688x1520@25fps，S+265/H.265/H.264|
|4MP 25x Starlight IR POE AI PTZ Camera（Qatar）|TC-H344S|Up to 2560X1440@30fps，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m，S+265/H.265/H.264/M-JPEG|
