产品网址：http://en.tiandy.com/index.php?s=/Home/Product/lists/category/276.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP 33× Starlight IR POE AI  PTZ Camera(Project)|TC-H326S|Up to 1920X1080@60fps，Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 33×, digital zoom 16×|
|4MP 63× Super Starlight  IR Laser AEW AI PTZ Camera(Project)|TC-H348M|1/1.8" CMOS Sensor，Up to 4MP 2560x1440@30fps，Optical zoom: 63×, digital zoom 16×|
|2MP 25× Starlight IR PTZ Camera|TC-H324S|Up to 1920X1080@30fps，Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×|
|IR Laser AEW AI PTZ Camera|TC-H348P|1/1.8" CMOS Sensor，Up to 4MP 2560x1440@30fps，Optical zoom: 63×, digital zoom 16×|
|2MP 33× Starlight IR POE AI PTZ Camera|TC-H326P|Up to 1920X1080@30fps，Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 33 ×, digital zoom 16×|
|2MP 25× Starlight IR  PTZ Camera|TC-H324S|Up to 1920×1080@30fps，Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 25×, digital zoom 16×，Smart IR, IR Range: 150m|
|2MP 33× Starlight IR POE AI  PTZ Camera|TC-H326S|Optical zoom: 33×, digital zoom 16×，Intelligent monitoring/ Face Capture mode，Support Auto-tracking|
|2MP 33× Starlight IR POE AI PTZ Camera|TC-H326S|Min. illumination Color: 0.001Lux@F1.5，Optical zoom: 33×, digital zoom 16×，Face Capture mode，Plugin Free，IP67|
|5MP 44× Super Starlight IR  Face Capture AEW PTZ Camera|TC-A3563|Auto-Tracking Early Warning (AEW)，Min. illumination Color: 0.0008Lux@F1.5，Optical zoom: 44×, digital zoom 16×，Built-in Speaker|
|4MP 63× Super Starlight  IR Laser AEW AI PTZ Camera|TC-H348M|1/1.8" CMOS Sensor，Optical zoom: 63×, digital zoom 16×，IR Range: 300m；Laser Distance: 500m，Bulit-in Speaker|
