产品网址：http://en.tiandy.com/index.php?s=/Home/Studio/detail/id/111.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|Network Camera|AK|无|
|Network Camera|Spark|无|
|Network Camera|Superlite|无|
|Network Camera|Lite|无|
|Network Camera|Pro|无|
|Network Camera|WiFi|无|
|NVR|AK|无|
|NVR|Spark|无|
|NVR|Lite|无|
|NVR|Pro|无|
|NVR|AI|无|
|Speed Dome|Pro|无|
|CMS|K1000|无|
|CMS|K2000|无|
|CMS|Easy 7 VMS|无|
|CMS|Server|无|
|Supporting Products|Switch|无|
|Supporting Products|Monitor|无|
|Supporting Products|Keyboard|无|
|Project Products|Network Camera|无|
|Project Products|Speed Dome|无|
|Project Products|Special Product|无|
|Project Products|Qatar Product|无|
|Project Products|KZ project|无|
|Project Products|Turkey Project|无|
