产品网址：https://korea.tiandy.com/index.php?s=/Home/Product/lists/category/261.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|2MP Fixed IR Bullet Camera|TC-C32WN|·Min. illumination Color: 0.02Lux@F2.0<br>·Smart IR, IR Range: 50m<br>·Built-in Mic, SD Card Slot, Reset Button<br>·POE, IP67|
|2MP Fixed IR Turret Camera|TC-C32XN|·Min. illumination Color: 0.02Lux@F2.0<br>·Smart IR, IR Range: 30m<br>·Built-in Mic, SD Card Slot, Reset Button<br>·POE, IP67|
|2MP Fixed IR Dome Camera|TC-C32KN|·Min. illumination Color: 0.02Lux@F2.0<br>·Smart IR, IR Range: 30m<br>·Built-in Mic, SD Card Slot, Reset Button<br>·POE, IP67, IK10|
|2MP Motorized IR Bullet Camera|TC-C32UN|·Motorized Lens 2.8-12mm<br>·Smart IR, IR Range: 80m<br>·Built-in Mic, SD Card Slot, Reset Button<br>·POE, IP67|
|2MP Motorized IR Dome Camera|TC-C32MN|·Motorized Lens 2.8-12mm<br>·Smart IR, IR Range: 30m<br>·Built-in Mic, SD Card Slot, Reset Button|
|2MP Motorized IR Turret Camera|TC-C32SN|·Motorized Lens 2.8-12mm<br>·S+265/H.265/H.264<br>·Smart IR, IR Range: 30m<br>·Built-in Mic, SD Card Slot, Reset Button<br>·POE, IP67|
|2MP Fixed Color Maker Bullet Camera|TC-C32WP|·Default:Plastic,M:Metal Housing<br>·Up to 1920x1080@30fps<br>·S+265/H.265/H.264<br>·Min. illumination Color:0.0008Lux@F1.6|
|2MP Fixed Super Starlight IR Turret Camera|TC-C32XP|·Default:Plastic,M:Metal Housing<br>·Up to 1920x1080@30fps<br>·S+265/H.265/H.264<br>·Min. illumination Color:0.0008Lux@F1.6|
|2MP Fixed IR Wi-Fi Bullet Camera|TC-C32WN|·Metal+Plastic Housing<br>·Up to 1920x1080@30fps<br>·Min. illumination Color: 0.02Lux@F2.0<br>·Support Wi-Fi<br>·IP67|
|2MP Fixed IR Wi-Fi Dome Camera|TC-C32KN|·Metal+Plastic Housing<br>·Up to 1920x1080@30fps<br>·S+265/H.265/H.264<br>·Min. illumination Color: 0.02Lux@F2.0|
