产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/1084.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|5MP Fixed Starlight IR Dome Camera|TC-C35KS|·Metal+plastic housing<br>·Up to Max. 2592×1944 resolution<br>·S+265/H.265/H.264B/H.264M/H.264H<br>·Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR<br>·Smart IR, IR range 30m<br>·Support microSD/microSDHC/microSDXC card, up to 512 GB<br>·Support smart surveillance<br>·Operating conditions -40℃~65℃, humidity 95% or less (no condensation)<br>·DC12V±25%,Max. 6W, POE 802.3af,Max. 7W<br>·IP66|

Camera,Unnamed: 1
Image Sensor,"1/2.8""CMOS"
Min. Illumination,"Color:0.002Lux@(F1.6,AGC ON),B/W:0Lux with IR"
Shutter Time,1s~1/100000s
Day&Night,IR-cut filter with auto switch (ICR)
WDR,120dB
S/N,>42dB
Angle Adjustment,0~330°(P); 0~75°(T); 0~350°(R)
Lens,
Lens Type,Fixed focal lens
Focal Length,2.8mm
Lens Mount,M12
Aperture Range,F1.6
Field of View,94.7°(H); 52.5°(V); 118.5°(D)
DORI Distance,Detect:56.0m Observe:22.2m Recognize:11.2m Identify:5.6m
Illuminator,
IR LEDs,8
IR Distance,30m
Wavelength,850nm
Compression Standard,
Video Compression,S+265/H.265/H.264B/H.264M/H.264H
Video Bit Rate,32k~6Mbps
Audio Compression,G.711A/G.711U/ADPCM_D
Audio Sampling Rate,8kHz/32kHz/48kHz
Image,
Max. Resolution,2592×1944@20fps
Main Stream,"PAL:20fps(2592×1944), 25fps(2592×1520, 2560×1440, 2304×1296, 1920×1080, 1280×720) NTSC:20fps(2592×1944), 24fps(, 2592×1520, 2560×1440), 30fps(2304×1296, 1920×1080, 1280×720)"
Sub Stream,"PAL:25fps(704×576, 704×288, 640×360, 352×288) NTSC:30fps(704×480, 704×240, 640×360, 352×240)"
BLC,Yes
HLC,Yes
AGC,Yes
3D DNR,Yes
White Balance,Auto/Semi-Auto/Manual/Sunshine/Nature Light/Warmlight Lamp/Daylight Lamp/Filament Lamp/Lock White Balance
ROI,8 rectangular static areas
OSD,"Overlay of additional characters in 1 regions, 1 line, with a maximum of 48 characters or 16 Chinese characters per region; 16*16/32*32/48*48/64*64"
Privacy Mask,4 black static areas
Defog,Yes
Feature,
Alarm Trigger,Motion Detection; Mask Alarm; Disk Full; Disk R/W Error; IP Address Conflict
Linkage Method,trigger recording; trigger capture; notify surveillance center
Video Analytics,Tripwire; Perimeter
Rules of behavior analyse in 1 scene,2
Network,
ANR,Yes
Protocols,HTTP; HTTPS; TCP/IP; UDP; UPnP; ICMP; DHCP; DNS; DDNS; Easy DDNS; NTP; QoS; IPv4; SSH; Unicast; RTSP; FTP
System Compatibility,P2P(Mutually exclusive with Profile G); ONVIF Profile S/T/G; CGI; Milestone
Remote Connection,≤2
Client,Easy7 Smart Client
Moblie Client,EasyLive Plus
Interface,
Communication Interface,"1*RJ-45,10/100 Mbps self-adaptive Ethernet port"
Reset Button,Yes(Built-in)
On-board storage,"Support microSD/microSDHC/microSDXC card, up to 512 GB"
RTC,Yes
General,
Web Client Language,19 languages Simple Chinese/Traditional Chinese/English/Spanish/Korean/Italian/Turkish/Russian/Thai/French/Polish/Dutch/Hebrew/Arabic/Vietnamese/German/Ukrainian/Portuguese/Albanian
Operating Temperature,-40℃~65℃
Operating Humidity,Humidity 95% or less (no condensation)
Storage Temperature,-40℃~65℃
Storage Humidity,Humidity 95% or less (no condensation)
Power Supply,"DC12V±25%,MAX 6W; POE 802.3af,MAX 7W"
Protection,Surge4000V; ESD6000V; IP66; IK10
Boundary Dimensions,120(L)120(W)90(H)mm
Package Dimensions,140(L)140(W)120(H)mm
GrossWeight,0.61kg


Date,Title,Type
2024-05-08,TC-C35KS I3E2.8mmVJO4.0,pdf
