产品网址：https://www.tiandy.com/xwzx/mtgz/465.html
产品结构：root->天地伟业携众多明星产品亮相2018中国水博览会-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|影像水利监测球|无|影像监测水位、闸门启闭、漂浮物、水岸垃圾、盗采河沙|
|影像水利监测枪|无|影像定点监测水位、闸门启闭|
|水利预警枪|无|影像监测积水深，可用于城市内涝|
|水利监测预警系统|无|集成影像水利监测仪、雨量、水位等传感器、预警系统于一体，搭配中心平台、手机 APP 实现监测预警系统，用于中小型水库应急避险，农村基层防汛|
|600 万定焦全彩电池 4G 枪球|无|无|
|600 万定焦全光谱 WIFI 枪球|无|无|
|600 万定焦全光谱 4G 枪球|无|无|
|300 万全光谱电池 WIFI 一体机|无|无|
|500 万极昼定焦警戒一体机|无|无|
|300 万星光无尾线一体机|无|无|
|600 万 25 倍极昼全景枪球|无|无|
|500 万主动智能一体机|无|无|
|200 万全向智能一体机|无|无|
|500 万主动智能半球|无|无|
