产品网址：https://www.tiandy.com/product/AIsxj/zpj
产品结构：root->抓拍机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|200 万定焦红外一体机|TC-C52EN 配置：I5/E/(4/6/8)mm|无|
|200 万定焦红外半球|TC-C52SN 配置：I5/E/(2.8/4/6)mm|无|
|200 万定焦红外防暴音频半球|TC-C52KN 配置：I3/E/Y/(2.8/4)mm|无|
|200 万电动变焦红外一体机|TC-C52BN 配置：I8/A/E/Y/2.8-12mm|无|
|200 万电动变焦红外防暴半球|TC-C52MN 配置：I3/A/E/Y/M/2.8-12mm|无|
|500 万定焦红外一体机|TC-C55EN 配置：I8/E/(4/6/8)mm|无|
|500 万定焦红外半球|TC-C55SN 配置：I5/E/(2.8/4/6)mm|无|
|500 万星光电动变焦红外一体机|TC-C55BS 配置：I8/A/E/Y/2.8-12mm|无|
|500 万星光电动变焦红外防暴半球|TC-C55MS 配置：I3/A/E/Y/M/2.8-12mm|无|
|800 万星光定焦红外音频一体机|TC-C58ES 配置：I8/E/Y/(4/6)mm|无|
|800 万星光定焦红外音频半球|TC-C58XS 配置：I5/E/Y/(2.8/4)mm|无|
