产品网址：https://www.tiandy.com/product/wlsxj/list_77_2.html
产品结构：root->网络摄像机-天地伟业技术有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|300 万超星光全彩音频一体机|TC-C13DU|无|
|500 万超星光定焦全彩音频一体机|TC-C15DU|无|
|500 万定焦红外音频半球|TC-C15HN|无|
|300 万定焦全光谱双目全向一体机|TC-C13RN|无|
|300 万定焦全光谱 WIFI 警戒球|TC-H133N|无|
|400 万定焦全光谱 WIFI 警戒球|TC-H143N|无|
|400 万定焦全光谱音频一体机|TC-C14ZN|无|
|400 万定焦全光谱音频半球|TC-C14XN|无|
|400 万双模红外音频一体机|TC-C14EN|无|
|400 万双模红外音频半球|TC-C14HN|无|
|200 万定焦红外半球|TC-C12HN|无|
|400 万定焦全光谱警戒一体机|TC-C14ZQ|无|
|500 万极昼定焦警戒一体机|无|无|
|600 万定焦全彩电池 4G 枪球|无|无|
|600 万定焦全光谱 WIFI 枪球|无|无|
|600 万定焦全光谱 4G 枪球|无|无|
|300 万全光谱电池 WIFI 一体机|无|无|
|300 万星光无尾线一体机|无|无|
|600 万 25 倍极昼全景枪球|无|无|
|500 万主动智能一体机|无|无|
|200 万全向智能一体机|无|无|
|500 万主动智能半球|无|无|
