产品网址：https://www.myrntec.com/cfd/133.html
产品结构：root->0V~1000V模组/Pack充放电测试系统_锂电池充放电自动化测试解决方案_电池智能制造IME_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐能模组/PACK 充放电测试系统|无|主要应用于动力或储能电池模组/PACK 等产品的测试和质量控制，可实现充放电数据监测一体化。采用三电平控制技术和先进矢量控制算法，交流测采用先进的脉冲调制整流技术实现直流与交流能量的双向控制，对局部电网有功率因数校正和谐波治理作用。直流侧采用先进的三相交错均流矢量控制算法技术，实现了直流母线电压的高精度低纹波输出，宽范围可调，动态响应快等特点。具有输出电压、电流范围宽，输出精度及分辨率高，支持多通道并联输出，多重滤波方案，电流纹波≤0.2%FS，全功率段能量回馈，功率因数 0.99，标配多种通信接口，包括 RS485/CAN/CANFD/LAN，满足 CE/UL 等出口认证要求等优势特点。|

项目,规格参数
AC侧供电,380±10%VAC， 50±5%Hz
DC侧电压范围,0~1500V(可定制)
DC侧电压精度,±0.05%F.S.(分辨率1mV)
DC侧电流范围,0~1000A(可定制)
DC侧电流精度,±0.05%F.S.(分辨率1mA)
通道数,1CH/2CH/4CH(选配)
电流响应时间,5mS(10%~90%)
电流切换时间,10mS(10%~90%)
最大回馈效率,≥96%
充电模式,恒流、恒压、恒功率、斜坡等
放电模式,恒流、恒压、恒功率、恒阻、斜坡等
其他工作模式,静置、工况模拟、脉冲测试、DCIR测试等
保护功能,过流/过压/欠压/反接/错接/通讯异常保护等
设备尺寸,2800*1100*2000mm(W*D*H)
