产品网址：https://www.myrntec.com/dldcpack/66.html
产品结构：root->中大型电动摩托车专用PACK_动力电池PACK系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|中大型电动摩托车专用 PACK|无|锂电池动力系统应用于 72V 平台电摩，匹配自研保护板，高精度的电压、电流、温度采集，具备 OTA 功能，实时监控电池状态|

序号,项目名称,指标参数
1,电池类型,磷酸铁锂
2,电池组电压工作范围,57.5Ｖ～83.95V
3,标称电压/标称容量,73.6V/52Ah
4,串并联方式,1P23S
5,充电最大持续电流,26A
6,放电最大持续电流,70A
7,最大脉冲放电电流,110A @30S
8,电池组标称电量,3.82 kwh
9,SOC使用范围,5%～100%
10,电池组循环寿命,1800次
11,电池组充电温度范围,-10℃～55℃
12,电池组放电温度范围,-20℃～60℃
13,工作海拔高度,4000 m
14,防护等级,IP67
15,电池组总重量,27±1 kg
16,电池箱体尺寸,462×265×178（mm）
