产品网址：http://www.lichiwei.com/product.php?id=13
产品结构：您现在的位置：首页->产品中心->锂电池管理芯片->锂电池转干电池SOC

|产品名称|产品型号|功能描述|
|----|----|----|
|锂电池转干电池 SOC|无|无|

IC型号,充电电压  (V),充电电流  (mA),充电模式,过冲  保护电压  (V),过冲  恢复电压  (V),过放  保护电压  (V),过放  恢复电压  (V),待机电流  (uA),输出电压(V),输出电流  (V),低电量  提示电压  (V),温度保护,封装形式
LC9200D-3.7V,4.5~5.5,500,Linear,4.25,4.05,2.3,2.7,6,1.5,2,---,---,DFN3*3-8L
LC9200D-3.2V,4.5~5.5,500,Linear,3.65,3.45,2.1,2.4,6,1.5,2,---,---,DFN3*3-8L
LC9200D-2.4V,4.5~5.5,500,Linear,2.8,2.65,1.7,1.85,6,1.5,2,---,---,DFN3*3-8L
LC9201D-3.7V,4.5~5.5,500,Linear,4.2,4.03,2.7,3.0,6,1.5,2,1.1,---,DFN3*3-8L
LC9201D-3.2V,4.5~5.5,500,Linear,3.7,3.55,2.1,2.3,6,1.5,2,1.1,---,DFN3*3-8L
LC9201D-2.4V,4.5~5.5,500,Linear,2.8,2.65,1.7,1.85,6,1.5,2,1.1,---,DFN3*3-8L
LC9202D-3.7V,4.5~5.5,500,Linear,4.2,4.03,2.7,3.0,6,1.5,2,---,---,DFN3*3-8L
LC9202D-3.2V,4.5~5.5,500,Linear,3.7,3.55,2.1,2.3,6,1.5,2,---,---,DFN3*3-8L
LC9203D-3.7V,4.5~5.5,500,Linear,4.2,4.03,2.7,3.0,6,1.5,2,1.1,---,DFN2*2-6L
LC9203D-3.2V,4.5~5.5,500,Linear,3.7,3.55,2.1,2.3,6,1.5,2,1.1,---,DFN2*2-6L
LC9205D-3.7V,4.5~5.5,500,Linear,4.2,4.03,2.7,3.0,6,1.5,2,1.1,Y,DFN3*3-8L
LC9205D-3.2V,4.5~5.5,500,Linear,3.7,3.55,2.1,2.3,6,1.5,2,1.1,Y,DFN3*3-8L
