产品网址：http://www.swcpu.cn/show-190-256-1.html
产品结构：首页->产品中心->高性能多核处理器->申威411-

|产品名称|产品型号|功能描述|
|--|--|--|
|高性能多线程处理器|申威 26010|无|
|高性能单核处理器|申威 111|无|
|高性能多核处理器|申威 221、申威 411、申威 421、申威 421M、申威 1621|4 译码 7 发射结构，单核整数性能提高 62%，浮点性能提高 53%；计算性能：双精度浮点性能 102.4GFlops@1.6GHz；SPEC2000 测试下，浮点性能 1503 分，整数性能 1017 分，是首款超过 1000 分的国产处理器；I/O 性能指标优异，经实测可达到 Intel 中端 Xeon 水平；并支持更加丰富的 I/O 虚拟化；可根据应用需求对核心数量、存储控制器和 PCI-E 接口数量进行裁剪，提供不同规模的配置，以降低系统开发成本和系统功耗；提供两种封装产品，其中陶瓷封装版本符合国军标 B 级水平标准；LGA 封装版本与申威 410 引脚兼容，方便用户升级设计|
|申威国产 IO 套片|SW-ICH2、SW-ICH1|无|
|申威平台整机产品|申威 3231 ATCA 计算刀片、神威 3231 刀片计算机、神威蜀山 831Mini 计算机、神威 831 台式机、神威 3231 双路服务器、神威嵌入式工控机（NO FAN）、神威 421M 瘦客户机、神威 421 一体机、神威 1621 服务器、神威 421 台式机|无|

参数,性能指标
核心数量,4
核心频率,典型工作频率： 1.0~1.6GHz。
峰值运算速度,浮点： 每秒1024亿次双精度浮点结果@1.6GHz；  整数： 每秒704亿次整数结果@1.6GHz。
工艺特征,内核电源： 0.95V±5%；  I/O电源： 1.5V±10%， 1.8V±10%。
Cache容量,每个核心包含两级Cache， Cache行长度为128字节；  一级Cache： 指令与数据分离， 容量分别为32KB， 均采用4路组相联结构；  二级Cache： 指令与数据混合， 容量为512KB， 采用8路组相联结构；  4个核心共享三级Cache， 容量为6MB， Cache行长度为128字节， 采用24路组相  联结构。
存储空间,支持64位虚地址空间， 实际实现43位虚地址；  支持40位物理地址。
存储器接口,双路64位DDR3存储器接口， 支持可配置的纠单错、 检双错ECC校验， 支持单路  存储控制器， 最大传输率为1600MBps；  可配置为单路使用， 每路支持的存储器容量为1、 2、 4、 8GB， 两路总存储器容  量最大为16GB；  支持连接DDR3 SDRAM芯片、 UDIMM和RDIMM存储器条。
I/O接口,双路PCI-E 2.0 ×8接口， 单链路带宽5Gbps；  可配置为单路； 维护接口支持芯片调试与维护。
封装特性,采用两种封装方式： LGA封装、 FC-CBGA陶瓷封装；  LGA封装： 引脚数为1156， 封装尺寸为37.5mm×37.5mm；  FC-CBGA陶瓷封装： 引脚数为1144， 封装尺寸为40mm×40mm。
功耗,热设计功耗： 35W；  典型运行功耗： 25~30W@1.6GHz（含I/O功耗， 与具体应用相关） 。
