产品网址：https://www.toll-semi.com/products-filter/products-pmu-dcdc
产品结构：root->产品筛选器-拓尔微

|产品名称|产品型号|功能描述|
|--|--|--|
|电源管理芯片|无|无|
|DC/DC 开关转换器|无|无|
|低压 Buck 转换器|无|无|
|中压 Buck 转换器|无|无|
|高压 Buck 转换器|无|无|
|Boost 转换器|无|无|
|车充及 USB 供电降压 DC/DC 转换器|无|无|
|DC/DC 开关控制器|无|无|
|Buck|无|无|
|Buck-Boost|无|无|
|PMIC|无|无|
|多通道 DC/DC PMIC|无|无|
|LNB 供电专用 PMIC|无|无|
|拓展坞 PMIC|无|无|
|线性稳压器|无|无|
|低压差线性稳压器|无|无|
|保护、开关和复位|无|无|
|负载开关|无|无|
|电源开关|无|无|
|复位芯片|无|无|
|断电保护|无|无|
|LED 驱动器|无|无|
|LED 背光驱动|无|无|
|LED 照明驱动|无|无|
|AC-DC 控制器和转换器|无|无|
|SR 控制器和转换器|无|无|
|反激式控制器和转换器|无|无|
|电源模块|无|无|
|标准的 PoE 供电受电 IC|无|无|
|PSE(PoE) IC|无|无|
|PD(PoE) IC|无|无|
|显示驱动芯片|无|无|
|分区背光主控芯片|无|无|
|显示驱动芯片|无|无|
|电机驱动芯片|无|无|
|有刷直流(BDC)电机驱动器|无|无|
|无刷直流(BLDC)电机驱动器|无|无|
|单相直流无刷电机驱动|无|无|
|三相直流无刷电机驱动|无|无|
|高边或低边驱动|无|无|
|栅极驱动|无|无|
|有刷栅极驱动|无|无|
|无刷栅极驱动|无|无|
|步进电机驱动|无|无|
|电池管理芯片|无|无|
|电池保护 IC|无|无|
|单串锂电负极保护|无|无|
|单串锂电正极保护|无|无|
|2~14 串锂电保护|无|无|
|二次保护|无|无|
|模拟前端 AFE|无|无|
|3~10 串 AFE|无|无|
|电量计|无|无|
|电池充电管理|无|无|
|线性充电管理|无|无|
|开关充电管理|无|无|
|接口控制芯片|无|无|
|USB Type-A 控制器|无|无|
|USB-A 口充电识别 IC|无|无|
|USB-A 口快充识别 IC|无|无|
|USB Type-C PD 控制器|无|无|
|DFP 控制器|无|无|
|USB Type-C 电源管理芯片|无|无|
|信号链芯片|无|无|
|时间数字转换器|无|无|
|霍尔传感器芯片|无|无|
|隔离器件|无|无|
|放大器|无|无|
|数据转换器|无|无|
|逻辑和电压转换|无|无|
|音频功放|无|无|
|MCU 芯片|无|无|
|8051 核 MCU|无|无|
