产品网址：https://www.kunlunxin.com/product/274.html
产品结构：root->昆仑芯AI加速卡R200系列–昆仑芯（北京）科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|昆仑芯 AI 加速卡 R200 系列|无|采用昆仑芯 2 代 AI 芯片，适用于数据中心的高性能推理场景，全面支持自然语言处理、计算机视觉、语音以及传统机器学习等各类人工智能任务|

产品,昆仑芯AI加速卡R200,昆仑芯AI加速卡R200-8F
架构,昆仑芯XPU-R,昆仑芯XPU-R
精度,"INT8/INT16, FP16/FP32","INT8/INT16, FP16/FP32"
算力,INT8: 256 TOPS  INT16: 128 TOPS  FP16: 128 TFLOPS  FP32: 32 TFLOPS,INT8: 256 TOPS  INT16: 128 TOPS  FP16: 128 TFLOPS  FP32: 32 TFLOPS
内存,16 GB GDDR6,32 GB GDDR6
访存带宽,512 GB/s,512 GB/s
系统互联,"PCIe Gen4 x 16, 兼容3.0/2.0/1.0","PCIe Gen4 x 16, 兼容3.0/2.0/1.0"
制程,7nm,7nm
编码/解码能力,108路1080P@30FPS解码  27路1080P@30FPS编码,108路1080P@30FPS解码  27路1080P@30FPS编码
散热,被动,被动
ECC,支持,支持
应用,推理，训练,推理，训练
功耗,150W,160W
工作温度,0°C - 55°C,0°C - 55°C
规格,全高全长双槽位,全高全长双槽位
开发工具,昆仑芯软件开发套件,昆仑芯软件开发套件
