产品网址：https://dtc-solutions.cn/product/7170.html#
产品结构：root->冲击测量仪|腾振科技

|产品名称|产品型号|功能描述|
|--|--|--|
|冲击测量仪|VENZO 640/680|用于捕捉和分析瞬态加速度信号，如跌落信号、碰撞信号或冲击波。具有丰富的分析功能，可对捕捉到的瞬态冲击信号进行 SRS 分析等。无缝对接各种型号的试验设备，是冲击、跌落测量和分析的专业测量工具。|

型号,型号.1,VENZO 640,VENZO 680
输入通道,输入通道,4,8
输出通道,输出通道,2  个，用于硬件校准,2  个，用于硬件校准
,AC  单端/差分,✓,✓
,DC  单端/差分,✓,✓
,ICP,✓,✓
,电荷,✓,✓
,TEDS,✓,✓
DSP,DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP
尺寸,尺寸,290*210*60 mm,390*280*60 mm
重量,重量,2.6 kg,4.2 kg
电源,电源,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz
电源,电源,额定功率10 W,额定功率 20 W
制冷方式,制冷方式,传导无风扇制冷,传导无风扇制冷
主机箱接口,主机箱接口,高速标准以太网接口,高速标准以太网接口
软件运行环境,软件运行环境,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10
软件功能,软件功能,经典冲击、冲击响应谱、瞬态捕捉、振动测试,经典冲击、冲击响应谱、瞬态捕捉、振动测试
