产品网址：http://hi-sensor.com/ProductInfoCategory?categoryId=607417,607435,607436,607437,607541,607542,607543,607544,607545,607548,607549,607550,607551,622442,623216,623274,623310,623315,623320,623607,639735
产品结构：root->产品分类结果页

|产品名称|产品型号|功能描述|
|--|--|--|
|集成空气品质传感器|无|粉尘，甲醛，温湿度，二氧化碳检测，用于通风控制系统，净化机，智能家居等|
|CO2 传感器|无|可广泛应用于暖通制冷与室内空气质量监控|
|甲醛传感器|无|甲醛传感器模块，采用电化学原理和先进的微检测技术，直接将环境中的甲醛含量转换成浓度值，标准化数字输出|
|全彩屏负氧离子检测仪|无|带有彩色触摸屏，多彩显示各要素数值，美观大方，触摸屏设置各种参数，操作方便，可应用于林业、环保、气象、旅游单位等进行空气负氧离子的监测|
|负氧离子检测仪|无|可应用于林业、环保、气象、旅游等行业进行空气负氧离子的监测，设备带有液晶屏，可实时显示空气中的负氧离子浓度|
|公厕专用多功能空气质量变送器|无|用于检测公厕环境中的 NH3、H2S、温度、湿度、PM2.5、PM10、大气压力、光照、TVOC、CO2、甲醛、O3、CO、CH4、O2、SO2、NO2、H2 等多种要素|
|多功能空气质量变送器（简版）|无|简版型多功能空气质量变送器是我公司自主研发的一款空气环境多要素变送器|
|多气体合一百叶盒|无|该一体式百叶箱可广泛适用于环境检测，将传感器安装在百叶盒内，设备采用标准 MODBUS-RTU 通信协议，RS485 信号输出，通信距离最大可达 2000 米（实测）|
|多功能空气质量变送器|无|是我公司自主研发的一款空气环境综合指数监测仪，用于检测空气环境中的 PM2.5、PM10、温度、湿度、气压、光照、TVOC、O2、二氧化碳(CO2)、一氧化碳(CO)、甲醛(CH2O)等参数，功能非常强大，基本涵盖了反映空气质量的各个指标|
|气体报警控制器|无|气体报警控制器通过 RS485 接口可将我司气体变送器接入到气体报警控制器，并将数据实时上传至我司提供的云平台或客户自己的服务器|
|110 液晶气体变送器|无|110 液晶气体变送器是我公司自主研发的一款环境气体浓度监测仪，用于检测空气环境中的气体浓度参数|
