产品网址：https://m.si-change.com.cn/col.jsp?id=104
产品结构：root->产品展示-武汉芯昌科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|XC081S021|XC021 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：8<br>采样率（KSPS）：50-200<br>P2P 兼容芯片型号：ADC081S021|
|XC101S021|XC021 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：10<br>采样率（KSPS）：50-200<br>P2P 兼容芯片型号：ADC101S021|
|XC121S021|XC021 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：12<br>采样率（KSPS）：50-200<br>P2P 兼容芯片型号：ADC121S021|
|XC081S051|XC051 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：8<br>采样率（KSPS）：200-500<br>P2P 兼容芯片型号：ADC081S051|
|XC101S051|XC051 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：10<br>采样率（KSPS）：200-500<br>P2P 兼容芯片型号：ADC101S051|
|XC121S051|XC051 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：12<br>采样率（KSPS）：200-500<br>P2P 兼容芯片型号：ADC121S051|
|XC7910|XC79 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：10<br>采样率（KSPS）：250<br>P2P 兼容芯片型号：AD7910|
|XC7920|XC79 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：12<br>采样率（KSPS）：250<br>P2P 兼容芯片型号：AD7920|
|XC081S101|XC101 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：8<br>采样率（KSPS）：500-1000<br>P2P 兼容芯片型号：ADC081S101|
|XC101S101|XC101 系列|电压（伏）：3.3 - 5.25<br>分辨率（位）：10<br>采样率（KSPS）：500-1000<br>P2P 兼容芯片型号：ADC101S101|
