产品网址：http://www.zjgst.com/products_cont_544.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|KT 系列功率控制器|KT 系列|适用于阻性负载、感性负载、变压器一次侧等，可广泛应用于工业各领域的电压、电流及功率的连续调节。具有恒电压、恒电流、恒功率开环等多种控制方式；高速 DSP 芯片及高精度 AD 转换，反应速度快，控制精度优于 1%，分辨率优于 1‰；具有自动限流功能；具有软启动、软关断功能；具有缺相、过流、过热、晶闸管故障、负载断线及不平衡保护功能；具有故障自诊断及相序自动确认功能；配备 LED 数码显示，便于功能参数设置及运行参数显示；采用模块化设计，体积小、重量轻；RS485 通讯接口，MODBUS 通讯协议|

输入,额定输入电压,AC1(3)x220V;380V±15%;50/60Hz 其它(others),AC1(3)x220V;380V±15%;50/60Hz 其它(others).1
输入,控制电源,"AC220V,50/60Hz","AC220V,50/60Hz"
输出,输出电压,输入电压的0-98%,输入电压的0-98%
输出,输出电流,额定电流的0-100%(见型号规格),额定电流的0-100%(见型号规格)
输出,适用负载,电阻负载、电感负载、变压器一次、气体放电负载等,电阻负载、电感负载、变压器一次、气体放电负载等
主要特性,给定方式,开关量 模拟量 通讯,开关量 模拟量 通讯
主要特性,控制模式,恒压、恒流、恒功率、调功(过零),恒压、恒流、恒功率、调功(过零)
主要特性,高精度AD转换,12位AD,12位AD
主要特性,控制精度,优于1%,优于1%
主要特性,采集分辨率,高于0.1%,高于0.1%
主要特性,闭环控制模式,恒电流、恒电压、恒功率以及过零恒功控制任意选择,恒电流、恒电压、恒功率以及过零恒功控制任意选择
主要特性,触发模式,过零，移相以及过零+移相任意选择,过零，移相以及过零+移相任意选择
主要特性,给定信号,模拟给定，键盘数字给定以及通信给定任意选择,模拟给定，键盘数字给定以及通信给定任意选择
主要特性,模拟量输入接口,两路可编程输入,两路可编程输入
环境,使用场所,室内，不受阳光直晒，无尘埃、腐蚀性气体、可燃性气体、油雾、水蒸汽、滴水或盐份等,室内，不受阳光直晒，无尘埃、腐蚀性气体、可燃性气体、油雾、水蒸汽、滴水或盐份等
环境,海拔高度,1000米以下，高于1000米降额使用,1000米以下，高于1000米降额使用
环境,环境温度,-5°C~+40°C,-5°C~+40°C
环境,湿度,小于90%RH，无水珠凝结,小于90%RH，无水珠凝结
环境,振动,小于5.9m/s²（0.6g),小于5.9m/s²（0.6g)
