产品网址：http://www.jszhdz.net/page13?product_id=47
产品结构：root->LED频闪灯、LED频闪补光灯、LED电子警察补光灯

|产品名称|产品型号|功能描述|
|--|--|--|
|LED 频闪灯|无|本款产品为一款集频闪/常亮工作模式为一体的 LED 补光灯产品。具有自动检测摄像机频率与曝光时间，内置算法自动同步（倍频）摄像机频率，曝光时间可由摄像机控制，也可手动控制；自动匹配摄像机开关量信号（上升、下降沿）、电平信号（高、低电平）；内置智能芯片限流技术，可调试峰值电流，支持常亮工作模式，只需要通过 RS485 修改灯的工作模式即可，充分兼容了平安城市、微卡口、治安监控等使用环境。|

序号,功能名称,功能描述
1,两种工作模式,频闪与常亮一体，用户可自行选择工作模式。
2,自适应同步功能,自适应国内所有支持频闪输出功能相机。
3,同步倍频功能,3  种模式可选，1-不倍频；2-自动倍频；3-手动倍频。
4,频闪峰值可调,频闪峰值功率可通过软件调节，范围60-150W，可调等级90级。
5,常亮功率可调,支持纯常亮工作模式，功率15-60W软件可调，可调等级35级。
6,光敏阀值可调,支持光敏开关阀值可调，开关时间可根据用户需求自行设置，带延时开关功能
7,实时显示功能,可实时显示摄像机输出频率HZ，脉宽长度，灯的工作频率与点亮时间
8,长寿命,内置电解电容均为进口固态电容，无寿命影响
9,防雷等级,≥3级。共模4000V，差模6000V
10,防护等级,IP67
11,软件控制功能,支持RS485查询和控制灯的状态和参数。有软件著作权


型号,CXBG-1-PS-AZ-CP3080W
应用范围,电子警察/卡口抓拍/超速抓拍/视频录像/车牌补光
适用车道数,1/2/3  车道
RS485  接口,支持1路RS485，支持电脑或者摄像机控制/
常亮模式,内置光敏，白天自动关闭，夜晚自动开启
光敏阀值,软件1-255可调/出厂默认155
输入电压,AC 90V-264V/47-63HZ
响应时间,≤20US
频闪平均功率,≤45W（软件可调）
常亮模式功率,5W-60W  （软件可调）
频闪峰值功率,60-150W  （软件可调）
LED  芯片,进口CREE（高亮5W）
灯珠数量,16  颗
信号触发方式,自适应电平/开关量触发方式
频闪脉宽,摄像机或客户端软件可调≤4MS
光源效率,99%
透镜效率,92%  （10%光强值）
电源效率,95%
光通量,10000LM
色温,白光5500-6500K（  可选暖光4000-4500K  ）
光源角度,标准15°/其余角度可选
工作温度,-40  °—  80°
储存温度,-40  °—  90°
照射距离,≤35米（杆高6米或者6.5米）
使用寿命,>50000  小时
外壳颜色,白色
外壳材料,高品质铝、钢化玻璃
防护等级,IP67
防雷等级,3  级/共模4000V/差模6000V
外形尺寸,180  ×146×65mm
重量,4.5KG
