产品网址：https://www.dtc-solutions.cn/product/venzo-800-xiliezhendongkongzhiqi.html
产品结构：root->VENZO800系列振动控制器|腾振科技

|产品名称|产品型号|功能描述|
|--|--|--|
|VENZO 800 系列振动控制器|VENZO 820/880/8160|可提供从 2 通道到多通道的振动控制解决方案，采用先进的 DSP 框架和控制算法，32 位浮点 450 MHz DSP 处理器，高性能 24 位 ADC，高达 135 dB 的动态范围，每个输入通道具有最高 204.8 kHz 的并行采样速率，能完美地实现瞬态冲击和长时波形复现等功能，与计算机主机通过高速网络连接以及先进的浮地设计，大大降低了系统本底噪声和减少各种引入干扰，保证控制的精确度，基于 Windows 图形化界面的控制软件，操作简单，易于上手|

型号,型号.1,VENZO 820,VENZO 880,VENZO 8160
输入通道,输入通道,2,4  或8,16
输出通道,输出通道,1  ，1个Drive,2  ，1个Drive，1个AUX,2  ，1个Drive，1个AUX
输入模式,AC  单端/差分,✓,✓,✓
输入模式,DC  单端/差分,✓,✓,✓
输入模式,ICP,✓,✓,✓
输入模式,电荷（内置电荷放大器）,✓,✓,✓
输入模式,TEDS,✓,✓,✓
数字I/O,数字I/O,8  位输入，8位输出,8  位输入，8位输出,8  位输入，8位输出
DSP,DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP,450 MHz  的32位浮点DSP
内部存储空间,内部存储空间,1 GB,1 GB,1 GB
尺寸,尺寸,290*210*60 mm,390*280*60 mm,435*280*60 mm
重量,重量,2.6 kg,4.2 kg,5.0 kg
电源,电源,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz,电压范围(90～280)VAC，频率范围(50～60)Hz
电源,电源,额定功率10 W,额定功率20 W,额定功率20 W
制冷方式,制冷方式,传导无风扇制冷,传导无风扇制冷,传导无风扇制冷
主机箱接口,主机箱接口,高速标准以太网接口,高速标准以太网接口,高速标准以太网接口
软件运行环境,软件运行环境,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10,Microsoft Windows XP/7/8/10
软件功能,软件功能,随机、正弦、RSTD、经典冲击、瞬态捕捉,随机、正弦、RSTD、经典冲击、瞬态冲击、冲击响应谱、瞬态捕捉、正弦加随机、随机加随机、正弦加随机加随机、正弦加正弦、长时波形复现、随机冲击,随机、正弦、RSTD、经典冲击、瞬态冲击、冲击响应谱、瞬态捕捉、正弦加随机、随机加随机、正弦加随机加随机、正弦加正弦、长时波形复现、随机冲击
