产品网址：http://www.jxlwdz.cn/productshow.php?cid=19&id=150
产品结构：root->金银丝-银基产品-江西蓝微电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|银基键合丝|无|无|

产品名称  Product name,型号  Type,特性  Characteristics,适用范围  Scope of application
金银丝  Gold coated silver wire,HP-1,"表面镀金，良好抗硫化和抗氧化性能，成本低  Low cost,Good oxidation and curing resistance  导电性极好，散热性优良，可焊性较好  Excellent conductivity and thermal performance,Good bonding reliability",中高端LED封装  Medium-High end LED package


直径  Diameter,直径  Diameter.1,最小拉断力  Breaking load(min)  cN,伸长率  Elongation %,直径  Diameter.2,直径  Diameter.3,最小拉断力  Breaking load(min)  cN.1,伸长率  Elongation  %
mm,mil,HP-1,HP-1,mm,mil,HP-1,HP-1
0.013,0.52,1.0,4.0-11.0,0.028,1.12,11.0,7.0-20.0
0.015,0.60,2.0,4.0-13.0,0.030,1.2,11.0,7.0-21.0
0.016,0.64,2.0,4.0-13.0,0.032,1.25,11.0,8.0-22.0
0.017,0.68,2.5,4.5-13.0,0.033,1.30,11.0,8.0-22.0
0.018,0.70,3.5,4.5-15.0,0.035,1.4,11.0,8.0-22.0
0.019,0.75,4.0,5.0-15.0,0.038,1.5,16.0,9.0-23.0
0.020,0.80,4.5,5.0-16.0,0.040,1.6,16.0,9.0-23.0
0.021,0.84,5.0,5.0-17.0,0.042,1.65,22.0,9.0-24.0
0.022,0.87,5.5,5.5-17.0,0.043,1.7,22.0,10.0-24.0
0.023,0.90,6.5,6.0-18.0,0.044,1.76,24.0,10.0-24.0
0.024,0.95,7.5,6.5-19.0,0.045,1.8,24.0,10.0-24.0
0.025,1.00,8.0,7.0-19.0,0.050,2.0,28.0,10.0-25.0
