产品网址：http://www.gtphotonics.com/products
产品结构：root->浙江光特科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|InGaAs PIN 光芯片|GTANPD60V1|距离测量、空间光传输、光时域反射计、低光级探测|
|InGaAs PIN 光芯片|GTPIN10GPDV3|距离测量、空间光传输、光时域反射计、低光级探测|
|InGaAs PIN 光芯片|GTPIN10GPDV4|距离测量、空间光传输、光时域反射计、低光级探测|
|InGaAs PIN 光芯片|GTPIN25GSGV1|距离测量、空间光传输、光时域反射计、低光级探测|
|InGaAs PIN 光芯片|GTPIN4x25GSGV1|距离测量、空间光传输、光时域反射计、低光级探测|
|InGaAs PIN 光芯片|GTPD1000V1|适用于光功率计、气体分析和湿度计中的 1mm PD|
|APD 光芯片|GTAPD1000V1|距离测量、空间光传输、光时域反射计、低光级探测|
|APD 光芯片|GTAPD500V1|距离测量、空间光传输、光时域反射计、低光级探测|
|APD 光芯片|GTAPD200V1|距离测量、空间光传输、光时域反射计、低光级探测|
|APD 光芯片|GTAPD40V1|距离测量、空间光传输、光时域反射计、低光级探测|
|APD 光芯片|GTAPD2.5GV1|距离测量、空间光传输、光时域反射计、低光级探测|
|MPD 监视光芯片|GTLMPD300V1|用于光功率监测的 InGaAs 光电探测器的规格描述|
