产品网址：https://cn.aoto.com/template/productShow.aspx?id=100000012749137
产品结构：当前位置：首页->产品中心->标准LCD广告屏

|产品名称|产品型号|功能描述|
|--|--|--|
|标准 LCD 广告屏|无|广告机是一种信息发布终端，海报屏功能的延伸和扩展，通过终端软件控制、网络信息传输和多媒体终端显示构成一个完整的广告播控系统。通过图片、文字、视频、小插件（天气、汇率）等多媒体素材进行广告宣传。支持丰富的播放文件格式，支持分屏多模板显示，支持分级授权信息发布，支持 USB、网络上传更新播放内容。外观简洁时尚，纤薄美观，画质清晰，高亮度，高对比度，高色彩饱和度，高分辨率，内置扬声器，定时开关机功能。|

类别,参数,参数.1,参数.2
显示屏,LCD,LCD,LCD
显示尺寸,43  寸,49  寸,55  寸
分辨率,1920*1080,1920*1080,1920*1080
亮度,400cd/m  2,400cd/m  2,400cd/m  2
对比度,≥1000：1,≥1000：1,≥1000：1
颜色,16.7  百万,16.7  百万,16.7  百万
视角,178  °,178  °,178  °
文件格式,AVI  、MPG、MKV、MOV、WMV、VOB、AAC、MP3、PCM、WMA、JPG、GIF、JPEG、BMP、PNG等,AVI  、MPG、MKV、MOV、WMV、VOB、AAC、MP3、PCM、WMA、JPG、GIF、JPEG、BMP、PNG等,AVI  、MPG、MKV、MOV、WMV、VOB、AAC、MP3、PCM、WMA、JPG、GIF、JPEG、BMP、PNG等
网络接口,"RJ-45 10/100M, wifi, 3G (WCDMA , TD-SCDMA, CDMA2000)","RJ-45 10/100M, wifi, 3G (WCDMA , TD-SCDMA, CDMA2000)","RJ-45 10/100M, wifi, 3G (WCDMA , TD-SCDMA, CDMA2000)"
电源,AC 110V-220V  ，50/60Hz,AC 110V-220V  ，50/60Hz,AC 110V-220V  ，50/60Hz
电气安全性,"抗电强度≥1,500V、漏电流≤3mA","抗电强度≥1,500V、漏电流≤3mA","抗电强度≥1,500V、漏电流≤3mA"
工作环境,环境温度：0~50℃ 相对湿度：10%~90%,环境温度：0~50℃ 相对湿度：10%~90%,环境温度：0~50℃ 相对湿度：10%~90%
安装方式,壁挂式（H）、立地式（V）,壁挂式（H）、立地式（V）,壁挂式（H）、立地式（V）
