产品网址：https://cn.aoto.com/template/productShow.aspx?id=100000019732464
产品结构：当前位置：首页->产品中心->综合导览台

|产品名称|产品型号|功能描述|
|--|--|--|
|综合导览台|无|集业务查询、分流、客户识别、排队叫号为一体的迎宾台，内含嵌入式排队机及嵌入式智能导览机。可提供智能取号、业务流程导航查询、附近网点分布，本网点 3D 鸟瞰、业务区域指示、网络信息查询等功能|

类别,类别.1,外形,外形.1
综合导览台,综合导览台,弧形家具,弧形家具
智能导览机（嵌入导览台）,智能导览机（嵌入导览台）,嵌入式排队机（嵌入导览台）,嵌入式排队机（嵌入导览台）
类别,配置及参数,类别,参数
主机,工控主板,显示屏类型,LED  液晶显示屏
显示器,21.5  寸,显示分辨率,1920  ×  1080
触摸屏,21.5  寸,显示屏尺寸,32  英寸
热敏打印机,80mm  行式热敏打印,显示亮度,≥350cd/㎡
语音模块,外接8Ω/8W喇叭,视角,≥178°
无线收发模块,433MHz  无线通讯,对比度,≥  1000:1
磁条刷卡器,支持,CPU  类型,酷睿i5处理器
身份证阅读器,支持,内存,4G DDR3
非接IC读卡器,支持,硬盘,500G
二维码扫描器（选配）,支持,操作系统,Win7
操作系统,Linux+Windows,整机尺寸,764*458*59  （mm）
