产品网址：http://www.szdragon.com/products.aspx?nid=3&typeid=127
产品结构：root->转换芯片-新龙鹏-深圳市新龙鹏科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|MIPI/TTL/LVDS to MIPI/TTL/L...|无|MIPI/LVDS input mux and output split supported....|
|MIPI to HDMI/LVDS|无|*Compliant with HDMI 1.4.*Support MIPI DSI Non-Bur...|
|LVDS/MIPI to eDP|LT8911EX|*Support single/Dual LVDS input. *...|
|RGB/LVDS to MIPI|无|*Support 24-bit RGB and BT656/BT1120 2port LVDS in...|
|Type C/DP/eDP to MIPI|无|1)TYPE-C/DP 1.2 Receiver *Compliant with DP 1.2...|
|Type C/DP/eDP to HDMI|无|1)USB Type-C *Compliant with USB Power Deliver s...|
|Type C/DP/eDP to HDMI|无|1)USB Type-C *Compliant with DP Alt Mode 1.0,PD2...|
|MIPI/HDMI to Type C/DP/eDP|无|*Single-Port MIPI receiver up to 1080P@60 Hz for R...|
|HDMI to TTL/LVDS|无|•Support HDMI 1.4/Dual Mode DP input.•Support reso...|
