产品网址：http://www.huitronic.com/product_show.php?id=176
产品结构：root->10D系列压敏电阻--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|10D 系列压敏电阻|10D|无|

型号规格,压敏电压(v),最大允许使用电压ACrms(v),最大允许使用电压DC(v),限制电压(8/20μS) Vc(v),限制电压(8/20μS) Ip(v),能量耐量(J)10/1000μS,能量耐量(J)2ms,通流量( 8/20μS )1次冲击(kA),通流量( 8/20μS )2次冲击(kA),静态功率(W)
HEL-10D182K,1062-1980,1000,1465,2970,25,247.0,183.0,3.5,2.5,0.4
HEL-10D112K,990-1210,680,895,1815,25,155.0,110.0,3.5,2.5,0.4
HEL-10D102K,900-1100,625,825,1650,25,140.0,100.0,3.5,2.5,0.4
HEL-10D951K,855-1045,575,765,1580,25,135.0,95.0,3.5,2.5,0.4
HEL-10D911K,819-1001,550,745,1500,25,130.0,90.0,3.5,2.5,0.4
HEL-10D821K,738-902,510,670,1355,25,110.0,80.0,3.5,2.5,0.4
HEL-10D781K,702-858,485,640,1290,25,105.0,75.0,3.5,2.5,0.4
HEL-10D751K,657-825,460,615,1240,25,105.0,75.0,3.5,2.5,0.4
HEL-10D681K,612-748,420,560,1120,25,100.0,72.0,3.5,2.5,0.4
HEL-10D621K,558-682,385,505,1025,25,97.0,90.0,3.5,2.5,0.4
HEL-10D561K,504-616,350,460,920,25,92.0,67.0,3.5,2.5,0.4
HEL-10D511K,459-561,320,418,842,25,92.0,67.0,3.5,2.5,0.4
HEL-10D471K,423-517,300,385,775,25,85.0,60.0,3.5,2.5,0.4
HEL-10D431K,387-473,275,350,710,25,80.0,55.0,3.5,2.5,0.4
HEL-10D391K,351-429,250,320,650,25,70.0,50.0,3.5,2.5,0.4
HEL-10D361K,324-396,230,300,595,25,65.0,45.0,3.5,2.5,0.4
HEL-10D331K,297-363,210,275,550,25,58.0,42.0,3.5,2.5,0.4
HEL-10D301K,270-330,195,250,505,25,54.0,38.0,3.5,2.5,0.4
HEL-10D271K,243-297,175,225,455,25,49.0,35.0,3.5,2.5,0.4
HEL-10D241K,216-264,150,200,395,25,42.0,30.0,3.5,2.5,0.4
HEL-10D221K,198-242,140,180,360,25,39.0,28.0,3.5,2.5,0.4
HEL-10D201K,185-225,130,170,340,25,35.0,25.0,3.5,2.5,0.4
HEL-10D181K,162-198,115,150,300,25,32.0,21.0,3.5,2.5,0.4
HEL-10D151K,135-165,95,125,250,25,25.0,18.0,3.5,2.5,0.4
HEL-10D121K,108-132,75,100,200,25,20.0,15.0,3.5,2.5,0.4
HEL-10D101K,90-110,60,85,165,25,17.0,12.0,3.5,2.5,0.4
HEL-10D680K,61-75,40,56,135,5,10.0,8.2,1.0,0.5,0.5
HEL-10D560K,50-62,35,45,110,5,8.1,6.7,1.0,0.5,0.5
HEL-10D470K,42-52,30,38,93,5,6.8,5.6,1.0,0.5,0.5
HEL-10D390K,35-43,25,31,77,5,5.6,4.7,1.0,0.5,0.5
HEL-10D330K,30-36,20,26,65,5,4.8,4.0,1.0,0.5,0.5
HEL-10D270K,24-30,17,22,53,5,3.9,3.2,1.0,0.5,0.5
HEL-10D220K,20-24,14,18,43,5,2.6,2.2,1.0,0.5,0.5
HEL-10D180K,15.5-21,11,14,35,5,2.3,2.0,1.0,0.5,0.5
